method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_empirical,0.01,conditional-threshold-82af7e6dc267785e0f7a564d,all,98825,0,-0.32640764117240906,1.0,-0.32640764117240906,,-0.32640764117240906,False,0.009997470275739944,,True,
global_safe,0.01,conditional-threshold-8b9e12f5aaf6e448f6a7e02d,all,73447,25378,-0.3269883394241333,1.0,-0.3269883394241333,-0.3243926167488098,-0.3243926167488098,False,0.00925837678870478,0.009969264717471825,True,True
fiqa_s,0.01,conditional-threshold-261c6cfeca785690308799b8,low,36600,12634,-0.3177313208580017,0.9945652173913043,-0.3177313208580017,-0.31577813625335693,-0.31577813625335693,False,0.009426229508196722,0.009973088491372488,True,True
fiqa_s,0.01,conditional-threshold-261c6cfeca785690308799b8,high,36847,12744,-0.34307458996772766,0.9946014522093557,-0.3429877475753958,-0.33992090821266174,-0.33992090821266174,False,0.009227345509810839,0.009965473948524796,True,True
fiqa_l,0.01,conditional-threshold-1a7e468151f370c6e6c10dbc,low,36880,12160,-0.33643457293510437,0.9946062567421791,-0.33638362237679276,-0.3418796956539154,-0.33638362237679276,False,0.00992407809110629,0.007976973684210527,True,True
fiqa_l,0.01,conditional-threshold-1a7e468151f370c6e6c10dbc,high,36567,13218,-0.318298876285553,0.9945603394348193,-0.318298876285553,-0.3126523792743683,-0.3126523792743683,False,0.008778406760193617,0.009986382206082615,True,True
global_empirical,0.05,conditional-threshold-a791df27ab3a1c9a08f19730,all,98825,0,-0.40384113788604736,1.0,-0.40384113788604736,,-0.40384113788604736,False,0.04999747027573995,,True,
global_safe,0.05,conditional-threshold-3e11c23e9eef1b13a5714f24,all,73447,25378,-0.40325766801834106,1.0,-0.40325766801834106,-0.4052191376686096,-0.40325766801834106,False,0.049995234659005815,0.048467176294428246,True,True
fiqa_s,0.05,conditional-threshold-09c8b1e897733844b0f8a9f4,low,36600,12634,-0.38709017634391785,0.9945652173913043,-0.38709017634391785,-0.39043349027633667,-0.38709017634391785,False,0.05,0.04764920056989077,True,True
fiqa_s,0.05,conditional-threshold-09c8b1e897733844b0f8a9f4,high,36847,12744,-0.4276869297027588,0.9946014522093557,-0.4275550471660653,-0.42506662011146545,-0.42506662011146545,False,0.04814503216001303,0.049984306340238545,True,True
fiqa_l,0.05,conditional-threshold-860b519f02980ebac5034cc6,low,36880,12160,-0.40252357721328735,0.9946062567421791,-0.40252357721328735,-0.40656334161758423,-0.40252357721328735,False,0.05,0.04572368421052632,True,True
fiqa_l,0.05,conditional-threshold-860b519f02980ebac5034cc6,high,36567,13218,-0.40461355447769165,0.9945603394348193,-0.40460617891558787,-0.40262550115585327,-0.40262550115585327,False,0.04867776957365931,0.04993191103041307,True,True
global_empirical,0.1,conditional-threshold-bd937998d9e7daec17998265,all,98825,0,-0.4501001834869385,1.0,-0.4501001834869385,,-0.4501001834869385,False,0.0999949405514799,,True,
global_safe,0.1,conditional-threshold-3aa4affd8d731ecc5b1edbd2,all,73447,25378,-0.44943320751190186,1.0,-0.44943320751190186,-0.4515093266963959,-0.44943320751190186,False,0.09999046931801163,0.09689494838048704,True,True
fiqa_s,0.1,conditional-threshold-70cc915977c0a2de740d5059,low,36600,12634,-0.4301277995109558,0.9945652173913043,-0.4301277995109558,-0.43581753969192505,-0.4301277995109558,False,0.1,0.09134082634161786,True,True
fiqa_s,0.1,conditional-threshold-70cc915977c0a2de740d5059,high,36847,12744,-0.47579601407051086,0.9946014522093557,-0.4756536931994087,-0.4734759032726288,-0.4734759032726288,False,0.09688712785301382,0.09996861268047709,True,True
fiqa_l,0.1,conditional-threshold-32375506f1e07f4c3b0ec90a,low,36880,12160,-0.44079330563545227,0.9946062567421791,-0.44079330563545227,-0.4447519779205322,-0.44079330563545227,False,0.1,0.0939967105263158,True,True
fiqa_l,0.1,conditional-threshold-32375506f1e07f4c3b0ec90a,high,36567,13218,-0.46599215269088745,0.9945603394348193,-0.46590207764979635,-0.46282246708869934,-0.46282246708869934,False,0.09664451554680449,0.09993947647147829,True,True
global_empirical,0.2,conditional-threshold-d91f8ef4771d25b2ce858d96,all,98825,0,-0.5081881284713745,1.0,-0.5081881284713745,,-0.5081881284713745,False,0.2,,True,
global_safe,0.2,conditional-threshold-a36826a14c6e3331b2b8a480,all,73447,25378,-0.5080992579460144,1.0,-0.5080992579460144,-0.5083054900169373,-0.5080992579460144,False,0.19999455389600665,0.19942469855780598,True,True
fiqa_s,0.2,conditional-threshold-a30fb0e3615684a46d529d5f,low,36600,12634,-0.4850710928440094,0.9945652173913043,-0.4850710928440094,-0.4871910512447357,-0.4850710928440094,False,0.2,0.19502928605350642,True,True
fiqa_s,0.2,conditional-threshold-a30fb0e3615684a46d529d5f,high,36847,12744,-0.5389413237571716,0.9946014522093557,-0.5387748213909279,-0.535559892654419,-0.535559892654419,False,0.19355714169403207,0.19993722536095418,True,True
fiqa_l,0.2,conditional-threshold-9e50a8cce8c1a4e706d2385f,low,36880,12160,-0.48962879180908203,0.9946062567421791,-0.48962879180908203,-0.4889892637729645,-0.4889892637729645,False,0.19821041214750543,0.2,True,True
fiqa_l,0.2,conditional-threshold-9e50a8cce8c1a4e706d2385f,high,36567,13218,-0.542844295501709,0.9945603394348193,-0.5426552942910816,-0.538351833820343,-0.538351833820343,False,0.19224984275439605,0.1999546073536087,True,True
global_empirical,0.3,conditional-threshold-8e6926e92dbfbd080fffdf2d,all,98825,0,-0.552515983581543,1.0,-0.552515983581543,,-0.552515983581543,False,0.2999949405514799,,True,
global_safe,0.3,conditional-threshold-e0a37ed76de9490100aab0d7,all,73447,25378,-0.5523946285247803,1.0,-0.5523946285247803,-0.5527368783950806,-0.5523946285247803,False,0.29999863847400166,0.29903853731578534,True,True
fiqa_s,0.3,conditional-threshold-193332e8d1e26502cf2b9ebc,low,36600,12634,-0.5252487659454346,0.9945652173913043,-0.5252487659454346,-0.5285347700119019,-0.5252487659454346,False,0.3,0.2919898686085167,True,True
fiqa_s,0.3,conditional-threshold-193332e8d1e26502cf2b9ebc,high,36847,12744,-0.5884324312210083,0.9946014522093557,-0.5882378794208829,-0.5847617387771606,-0.5847617387771606,False,0.29258827041550195,0.29998430634023854,True,True
fiqa_l,0.3,conditional-threshold-2069b173581f955b1646a120,low,36880,12160,-0.5251960158348083,0.9946062567421791,-0.5251960158348083,-0.5258286595344543,-0.5251960158348083,False,0.3,0.29835526315789473,True,True
fiqa_l,0.3,conditional-threshold-2069b173581f955b1646a120,high,36567,13218,-0.5990907549858093,0.9945603394348193,-0.5988367439081527,-0.595167875289917,-0.595167875289917,False,0.29236743511909646,0.29996973823573914,True,True
