case_id,extraction_uid,dataset_id,sample_id,model_uid,compression_family,compression_profile,search_mode,is_mated,threshold_policy,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-218bd46efc32c7f29614,population-9440d68759afdd6219d4bc36,survface,survface:registered_probe:2973_cam3_1,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.3072157502174377,True,False,False,True,True,0.9628445902962104,True,high_error,1,42,8
gradcam-dcafcb6b12551d8999cc,population-9440d68759afdd6219d4bc36,survface,survface:registered_probe:4072_cam2_1,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.15494304895401,True,False,False,True,True,0.905569255435877,True,high_error,2,42,8
gradcam-de8b73166579e68dad9c,population-9440d68759afdd6219d4bc36,survface,survface:registered_probe:2742_cam2_1,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,True,frozen_origin,0.1970492899417877,True,False,False,True,True,0.8891253536158097,True,high_error,3,42,8
gradcam-911d802e8452e7414989,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_1458,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.2810729444026947,True,False,False,True,True,0.8631409520829706,True,high_error,4,42,8
gradcam-44724327015ece6e5d58,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_2510,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.2775599956512451,True,False,False,True,True,0.8627087599202327,True,high_error,5,42,8
gradcam-eb52dc89167887068f22,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_1459,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.2396090626716613,True,False,False,True,True,0.8393989136013056,True,high_error,6,42,8
gradcam-98ec2ad0c0a1e72adc47,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_3567,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1949250102043151,True,False,False,True,True,0.8393727362674236,True,high_error,7,42,8
gradcam-93e02e321e9bf2f9233c,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_4031,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.0985000133514404,True,False,False,True,True,0.8322210382014591,True,high_error,8,42,8
gradcam-a2efc896472ada0506c0,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_3188,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.1464532017707824,False,False,False,True,True,0.8895895827402633,True,rank_flip,1,42,8
gradcam-818b8ab8250d914b2087,population-9440d68759afdd6219d4bc36,survface,survface:unknown_unknown_probe:distractors_4412,adaface-4df25b75e065b0b9ed43,pca,pca_128,pca_direct_cosine,False,frozen_origin,0.200830191373825,False,False,False,True,True,0.878989094442701,True,rank_flip,2,42,8
