analysis_scope,dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,target_fpir,threshold_policy,is_mated,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,top1_score_drift,851,264,0.011017647527314331,0.95,-0.048499905206959446,0.07597448028259025,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,agreement_with_origin,851,264,0.03514999081279803,0.95,-0.04486933272651836,0.10126135625828518,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_left,threshold_crossing,851,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,top1_score_drift,851,264,-0.013736856982841224,0.95,-0.08352686716948964,0.04757850131530831,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,agreement_with_origin,851,264,-0.005053394707444089,0.95,-0.08048938957397996,0.07051160226108007,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_top_right,threshold_crossing,851,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,top1_score_drift,851,264,0.02317546166563361,0.95,-0.041127518617189704,0.08324684702791707,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,agreement_with_origin,851,264,-0.023161145941383635,0.95,-0.09558929693517651,0.05886567535183526,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_left,threshold_crossing,851,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_right,top1_score_drift,851,264,-0.021779376154715546,0.95,-0.08209113522467178,0.038597640501681414,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_right,agreement_with_origin,851,264,-0.009574132109879872,0.95,-0.07397362862346557,0.05918047548143362,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,quadrant_bottom_right,threshold_crossing,851,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,left_eye_attention,top1_score_drift,851,264,0.0009764439972684278,0.95,-0.06135239314720005,0.06467893245423152,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,left_eye_attention,agreement_with_origin,851,264,-0.02895466325962499,0.95,-0.10918050705733508,0.0410597979056911,500,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,left_eye_attention,threshold_crossing,851,264,,0.95,,,0,weighted_rerank,identity-cluster-weighted-rerank-v1
retrieval,lfw,edgeface-a348c305af33c223b337,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.01,frozen_origin,False,right_eye_attention,top1_score_drift,851,264,-0.0022112606539189416,0.95,-0.06615040079709729,0.06681610511065239,500,weighted_rerank,identity-cluster-weighted-rerank-v1
