dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,threshold_policy,target_fpir,compressed_score_space,compressed_dir_rank1,compressed_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_32,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.980450236967,0.311345130205,0.311345130205,0.978991596639,0.981092436975,1.00214592275,0.995798319328,0.987394957983,25,1688,0.0148104265403,1655,1688,0.980450236967,0.0100517254132,0.0217724496831,0.972672668587,0.986046005402,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.965639810427,0.956753554502,0.973933649289,0,0,0,128,0,50,73984,1479.68,0.00391880776339,255179.651664,0,0,1640,0.757855822551
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_64,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.543246445498,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.987394957983,25,1688,0.0148104265403,917,1688,0.543246445498,0.0100517254132,0.0217724496831,0.519412040249,0.566884461849,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.528436018957,0.504146919431,0.55273992891,0,0,0,256,0,50,145920,2918.4,0.00590901109077,169233.055183,4,0.00184842883549,899,0.415434380776
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_128,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.0598341232227,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,101,1688,0.0598341232227,0.0100517254132,0.0217724496831,0.049487718726,0.072179390061,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.0450236966825,0.0349526066351,0.0556872037915,0,0,0,512,0,50,289792,5795.84,0.0175105360444,57108.4744331,3,0.00138632162662,79,0.0365064695009
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_256,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.0148104265403,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.0100517254132,0.0217724496831,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0,0,0,0,0,0,1024,0,50,577536,11550.72,0.00606524953794,164873.678114,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_384,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,frozen_origin,0.01,cosine_similarity,0.978991596639,0.0148104265403,0.311345130205,0.311345130205,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.0100517254132,0.0217724496831,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0,0,0,0,0,0,1536,0,50,865280,17305.6,0.00439935305001,227306.149025,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_32,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,recalibrated_compressed,0.01,cosine_similarity,0.97268907563,0.031990521327,0.311345130205,0.593791246414,0.978991596639,0.97268907563,0.99356223176,0.995798319328,0.987394957983,25,1688,0.0148104265403,54,1688,0.031990521327,0.0100517254132,0.0217724496831,0.0246008056183,0.0415055415442,0.961764485681,0.98854939741,0.953838641232,0.983971111818,0.0171800947867,0.00770142180095,0.0266587677725,-0.0063025210084,-0.0147058823529,0,128,0,50,73984,1479.68,0.00391880776339,255179.651664,22,0.0101663585952,50,0.0231053604436
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_64,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,recalibrated_compressed,0.01,cosine_similarity,0.976890756303,0.00177725118483,0.311345130205,0.529763102531,0.978991596639,0.976890756303,0.997854077253,0.995798319328,0.987394957983,25,1688,0.0148104265403,3,1688,0.00177725118483,0.0100517254132,0.0217724496831,0.000604605803334,0.00521240427724,0.961764485681,0.98854939741,0.959097733567,0.987048106177,-0.0130331753555,-0.0189573459716,-0.00770142180095,-0.00210084033613,-0.0063025210084,0,256,0,50,145920,2918.4,0.00590901109077,169233.055183,23,0.0106284658041,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_128,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,recalibrated_compressed,0.01,cosine_similarity,0.978991596639,0.0177725118483,0.311345130205,0.348023891449,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,30,1688,0.0177725118483,0.0100517254132,0.0217724496831,0.0124771751764,0.0252577192417,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0.00296208530806,-0.00296208530806,0.00888625592417,0,0,0,512,0,50,289792,5795.84,0.0175105360444,57108.4744331,11,0.0050831792976,16,0.00739371534196
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_256,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,recalibrated_compressed,0.01,cosine_similarity,0.978991596639,0.0148104265403,0.311345130205,0.311325550079,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.0100517254132,0.0217724496831,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0,0,0,0,0,0,1024,0,50,577536,11550.72,0.00606524953794,164873.678114,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,step4_search_space_query_gallery_conditions_v6,exploratory_dirty_evaluator,False,pca,pca_384,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,recalibrated_compressed,0.01,cosine_similarity,0.978991596639,0.0148104265403,0.311345130205,0.311342149973,0.978991596639,0.978991596639,1,0.995798319328,0.995798319328,25,1688,0.0148104265403,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.0100517254132,0.0217724496831,0.961764485681,0.98854939741,0.961764485681,0.98854939741,0,0,0,0,0,0,1536,0,50,865280,17305.6,0.00439935305001,227306.149025,0,0,0,0
