dataset,model_uid,run_id,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,origin_score_space,compressed_score_space,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,origin_storage_bytes_per_embedding,storage_bytes_per_embedding,codebook_bytes,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,54,1688,0.031990521327,0.0246008056183,0.0415055415442,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0.0171800947867,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,0.00947867298578,0.0248815165877,0,0,0,2048,512,0,102400,289792,5795.84
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,recalibrated_compressed,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,10,1688,0.00592417061611,0.00322107366682,0.0108709434642,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,-0.00888625592417,0.311345130205,0.356784194708,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,-0.0148104265403,-0.00355450236967,0,0,0,2048,512,0,102400,289792,5795.84
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_128,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,101,1688,0.0598341232227,0.049487718726,0.072179390061,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0.0450236966825,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,0.0349526066351,0.0556872037915,0,0,0,2048,512,0,102400,289792,5795.84
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_128,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,recalibrated_compressed,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,30,1688,0.0177725118483,0.0124771751764,0.0252577192417,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0.00296208530806,0.311345130205,0.348023891449,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,-0.00296208530806,0.00888625592417,0,0,0,2048,512,0,102400,289792,5795.84
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_256,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,14,1688,0.00829383886256,0.0049468781778,0.0138737144106,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,-0.00651658767773,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,-0.010663507109,-0.00296208530806,0,0,0,2048,1024,0,102400,577536,11550.72
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_256,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,recalibrated_compressed,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,12,1688,0.00710900473934,0.00407131536262,0.0123849894971,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,-0.00770142180095,0.311345130205,0.312155485153,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,-0.0124407582938,-0.00414691943128,0,0,0,2048,1024,0,102400,577536,11550.72
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_256,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,0,0,0,0,0,2048,1024,0,102400,577536,11550.72
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_256,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,recalibrated_compressed,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0,0.311345130205,0.311325550079,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.995798319328,0,0,0,0,0,0,0,0,2048,1024,0,102400,577536,11550.72
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_32,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,1527,1688,0.904620853081,0.889675225996,0.917729033356,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0.88981042654,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,466,476,0.978991596639,0.961764485681,0.98854939741,1,0.995798319328,0.987394957983,0,0,0,0.874407582938,0.904043246445,0,0,0,2048,128,0,102400,73984,1479.68
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_32,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,recalibrated_compressed,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,42,1688,0.0248815165877,0.0184600743826,0.0334605464077,0.978991596639,0.961764485681,0.98854939741,0.970588235294,0.951241089085,0.982400620619,0.0100710900474,0.311345130205,0.573823332787,466,476,0.978991596639,0.961764485681,0.98854939741,462,476,0.970588235294,0.951241089085,0.982400620619,0.991416309013,0.995798319328,0.987394957983,-0.00840336134454,-0.0168067226891,-0.00210084033613,0.00118483412322,0.0189573459716,-0.00840336134454,-0.0168067226891,-0.00210084033613,2048,128,0,102400,73984,1479.68
lfw,magface-6931178ad2025e1b3799,20260831-R001-937290ca,pca,pca_32,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,frozen_origin,0.01,25,1688,0.0148104265403,0.0100517254132,0.0217724496831,1655,1688,0.980450236967,0.972672668587,0.986046005402,0.978991596639,0.961764485681,0.98854939741,0.978991596639,0.961764485681,0.98854939741,0.965639810427,0.311345130205,0.311345130205,466,476,0.978991596639,0.961764485681,0.98854939741,467,476,0.981092436975,0.964460516632,0.990021409806,1.00214592275,0.995798319328,0.987394957983,0.00210084033613,0,0.0063025210084,0.956753554502,0.973933649289,0,0,0,2048,128,0,102400,73984,1479.68
