dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,threshold,realized_fpir,tpir20,tpir20_retention,closed_set_rank20_recall,target_met_on_test
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,0.3,compressed_recalibrated,recalibrated_compressed,0.751019358635,0.275078859171,0.0336295781408,0.905929558627,0.159243996491,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.01,origin,origin_calibrated,0.840707361698,0.0124121048827,0.000976449365308,1,0.168478890489,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.01,compressed_frozen_threshold,frozen_origin,0.840707361698,0.000616087270816,0,0,0.12213892061,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.01,compressed_recalibrated,recalibrated_compressed,0.70562171936,0.0121985279621,0.00122469920395,1.25423728814,0.12213892061,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.05,origin,origin_calibrated,0.802969455719,0.0499030689361,0.006619995697,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.05,compressed_frozen_threshold,frozen_origin,0.802969455719,0.00217684169021,3.3099978485e-05,0.005,0.12213892061,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.05,compressed_recalibrated,recalibrated_compressed,0.605795383453,0.0569182493264,0.00911904407262,1.3775,0.12213892061,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.1,origin,origin_calibrated,0.778957605362,0.0926923835184,0.0127434917167,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.1,compressed_frozen_threshold,frozen_origin,0.778957605362,0.00385259906683,0.000148949903183,0.0116883116883,0.12213892061,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.1,compressed_recalibrated,recalibrated_compressed,0.560809850693,0.108102779786,0.0160865895437,1.26233766234,0.12213892061,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.2,origin,origin_calibrated,0.745839476585,0.180012486035,0.024775333896,1,0.168478890489,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.2,compressed_frozen_threshold,frozen_origin,0.745839476585,0.00662088453703,0.000347549774093,0.0140280561122,0.12213892061,True
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.2,compressed_recalibrated,recalibrated_compressed,0.514773368835,0.206873891043,0.0262979329063,1.06145624582,0.12213892061,False
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,0.3,origin,origin_calibrated,0.719169616699,0.270749819281,0.0371216258709,1,0.168478890489,True
