dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,compressed_score_space,compressed_dir_rank1,compressed_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.00110884927925,0.0165932838273,0.840707361698,0.840707361698,0.000976449365308,0.00112539926849,1.15254237288,0.168478890489,0.0803832977509,1511,121736,0.0124121048827,2020,121736,0.0165932838273,0.0118053691018,0.0130496120002,0.0158908051075,0.0173262700123,0.000472221847753,0.000882167308537,0.000873320465023,0.0014078091703,0.0041811789446,0.00350759019518,0.00487941118486,0.00046339969879,0.00013239991394,0.000777849494398,128,0,3000,451584,150.528,0.179101145702,5583.43720292,1063,0.00583556124045,1748,0.00959601227499
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0.000182049881668,0.00512584609319,0.840707361698,0.840707361698,0.000976449365308,0.000182049881668,0.186440677966,0.168478890489,0.10006123496,1511,121736,0.0124121048827,624,121736,0.00512584609319,0.0118053691018,0.0130496120002,0.00474001544104,0.00554290791273,0.000472221847753,0.000882167308537,0.000101660194223,0.000325988483034,-0.00728625878951,-0.00785326444109,-0.00672767299731,-0.00046339969879,-0.000695099548185,-0.000248249838638,256,0,3000,901120,300.373333333,0.185315580345,5396.20035261,1678,0.00921173260723,263,0.00144379360888
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,3.3099978485e-05,0.00202076624827,0.840707361698,0.840707361698,0.000976449365308,3.3099978485e-05,0.0338983050847,0.168478890489,0.113102626483,1511,121736,0.0124121048827,246,121736,0.00202076624827,0.0118053691018,0.0130496120002,0.00178372964531,0.00228922997809,0.000472221847753,0.000882167308537,9.07725491843e-06,0.000120690554078,-0.0103913386344,-0.0109745679175,-0.00983254747979,-0.000612349601973,-0.000827499462125,-0.000413749731063,512,0,3000,1800192,600.064,0.181793560571,5500.74489361,1961,0.0107653204069,10,5.48970953947e-05
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0,0.000616087270816,0.840707361698,0.840707361698,0.000976449365308,0,0,0.168478890489,0.12213892061,1511,121736,0.0124121048827,75,121736,0.000616087270816,0.0118053691018,0.0130496120002,0.000491571297931,0.000772119018872,0.000472221847753,0.000882167308537,0,6.35720604942e-05,-0.0117960176119,-0.012436953736,-0.0112127883288,-0.000645449580458,-0.00086059944061,-0.000446849709548,1024,0,3000,3598336,1199.44533333,0.198571773011,5035.96248769,2181,0.0119730565056,0,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_direct_cosine,frozen_origin,0.01,cosine_similarity,0,0.000591443779983,0.840707361698,0.840707361698,0.000976449365308,0,0,0.168478890489,0.122734720222,1511,121736,0.0124121048827,72,121736,0.000591443779983,0.0118053691018,0.0130496120002,0.000469724801333,0.000744680089039,0.000472221847753,0.000882167308537,0,6.35720604942e-05,-0.0118206611027,-0.0124613918644,-0.0112210028258,-0.000645449580458,-0.00086059944061,-0.000446849709548,1536,0,3000,5396480,1798.82666667,0.198819009217,5029.70014757,2185,0.0119950153437,0,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.00079439948364,0.0124121048827,0.840707361698,0.85123705864,0.000976449365308,0.000810949472883,0.830508474576,0.168478890489,0.0803832977509,1511,121736,0.0124121048827,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.0118053691018,0.0130496120002,0.000472221847753,0.000882167308537,0.000599268008606,0.00105300201594,0,-0.000632721627128,0.00062430176776,0.000148949903183,-0.000148949903183,0.000446849709548,128,0,3000,451584,150.528,0.179101145702,5583.43720292,1262,0.00692801343881,1200,0.00658765144736
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.000844049451368,0.0124121048827,0.840707361698,0.794222593307,0.000976449365308,0.00086059944061,0.881355932203,0.168478890489,0.10006123496,1511,121736,0.0124121048827,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.0118053691018,0.0130496120002,0.000472221847753,0.000882167308537,0.000642073423591,0.00110949022371,0,-0.000607872773871,0.000632516264704,0.00019859987091,-8.27499462125e-05,0.000496499677275,256,0,3000,901120,300.373333333,0.185315580345,5396.20035261,1132,0.00621435119868,1085,0.00595633485032
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.00107574930076,0.0121985279621,0.840707361698,0.74361461401,0.000976449365308,0.00109229929001,1.1186440678,0.168478890489,0.113102626483,1511,121736,0.0124121048827,1485,121736,0.0121985279621,0.0118053691018,0.0130496120002,0.0115971044992,0.0128307362404,0.000472221847753,0.000882167308537,0.00084417995063,0.00137075393619,-0.000213576920549,-0.000796806203588,0.000394295853322,0.000430299720305,0.00013239991394,0.000744749515913,512,0,3000,1800192,600.064,0.181793560571,5500.74489361,1064,0.00584105094999,1004,0.00551166837763
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.0012081492147,0.0121985279621,0.840707361698,0.70562171936,0.000976449365308,0.00122469920395,1.25423728814,0.168478890489,0.12213892061,1511,121736,0.0124121048827,1485,121736,0.0121985279621,0.0118053691018,0.0130496120002,0.0115971044992,0.0128307362404,0.000472221847753,0.000882167308537,0.000961080359104,0.00151863652173,-0.000213576920549,-0.0007803772097,0.000369652362489,0.000562699634245,0.000248249838638,0.000877149429853,1024,0,3000,3598336,1199.44533333,0.198571773011,5035.96248769,1016,0.0055775448921,963,0.00528659028651
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.01,cosine_similarity,0.0012081492147,0.0121081684958,0.840707361698,0.703866779804,0.000976449365308,0.00122469920395,1.25423728814,0.168478890489,0.122734720222,1511,121736,0.0124121048827,1474,121736,0.0121081684958,0.0118053691018,0.0130496120002,0.0115090070454,0.012738120464,0.000472221847753,0.000882167308537,0.000961080359104,0.00151863652173,-0.000303936386936,-0.00087895117303,0.000271283761582,0.000562699634245,0.000248249838638,0.000877149429853,1536,0,3000,5396480,1798.82666667,0.198819009217,5029.70014757,1021,0.0056049934398,955,0.00524267261019
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.01,cosine_similarity,0.00983069361005,0.356484523888,0.840707361698,0.840707361698,0.000976449365308,0.0262979329063,26.9322033898,0.168478890489,0.114327325687,1511,121736,0.0124121048827,43397,121736,0.356484523888,0.0118053691018,0.0130496120002,0.353798557536,0.359179547402,0.000472221847753,0.000882167308537,0.00907459062541,0.0106491187403,0.344072419005,0.341435565486,0.346758559506,0.00918524402959,0.00840698078546,0.00993040729524,128,0,3000,451584,150.528,0.191742416241,5215.33012677,0,0,64241,0.352664430525
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_reconstruction_cosine,frozen_origin,0.01,cosine_similarity,0.00532909653609,0.107642767957,0.840707361698,0.840707361698,0.000976449365308,0.0103768432551,10.6271186441,0.168478890489,0.142793307184,1511,121736,0.0124121048827,13104,121736,0.107642767957,0.0118053691018,0.0130496120002,0.105914125654,0.109396171654,0.000472221847753,0.000882167308537,0.00477919606025,0.00594189150913,0.0952306630742,0.0936122018138,0.0969310639416,0.00468364695563,0.00415404729987,0.00522979660063,256,0,3000,901120,300.373333333,0.197321245176,5067.87801338,0,0,18069,0.0991935616687
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_reconstruction_cosine,frozen_origin,0.01,cosine_similarity,0.00218459858001,0.0352894788723,0.840707361698,0.840707361698,0.000976449365308,0.00344239776244,3.52542372881,0.168478890489,0.159243996491,1511,121736,0.0124121048827,4296,121736,0.0352894788723,0.0118053691018,0.0130496120002,0.0342675781895,0.0363407071165,0.000472221847753,0.000882167308537,0.00184264490183,0.00258984655982,0.0228773739896,0.0220394953013,0.0237565305251,0.00153914899955,0.00122469920395,0.0018701487844,512,0,3000,1800192,600.064,0.191699875384,5216.48748075,0,0,4378,0.0240339483638
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_reconstruction_cosine,frozen_origin,0.01,cosine_similarity,0.000711649537428,0.0132335545771,0.840707361698,0.840707361698,0.000976449365308,0.00105919931152,1.08474576271,0.168478890489,0.168032040779,1511,121736,0.0124121048827,1611,121736,0.0132335545771,0.0118053691018,0.0130496120002,0.0126068161134,0.0138910125364,0.000472221847753,0.000882167308537,0.000528410538323,0.000958370114972,0.000821449694421,0.000657159755537,0.000977525136361,6.619995697e-05,1.65499892425e-05,0.000148949903183,1024,0,3000,3598336,1199.44533333,0.191758498894,5214.89272063,0,0,176,0.000966188878946
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_reconstruction_cosine,frozen_origin,0.01,cosine_similarity,0.000645449580458,0.0124121048827,0.840707361698,0.840707361698,0.000976449365308,0.000976449365308,1,0.168478890489,0.168495440478,1511,121736,0.0124121048827,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.0118053691018,0.0130496120002,0.000472221847753,0.000882167308537,0.000472221847753,0.000882167308537,0,0,0,0,0,0,1536,0,3000,5396480,1798.82666667,0.2008641769,4978.48852608,0,0,1,5.48970953947e-06
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.01,cosine_similarity,0.00019859987091,0.0122724584346,0.840707361698,0.930376946926,0.000976449365308,0.000231699849395,0.237288135593,0.168478890489,0.114327325687,1511,121736,0.0124121048827,1494,121736,0.0122724584346,0.0118053691018,0.0130496120002,0.01166919068,0.0129065063389,0.000472221847753,0.000882167308537,0.000113615214535,0.000347131336973,-0.000139646448052,-0.000714661234146,0.000452002694355,-0.000446849709548,-0.000645449580458,-0.000248249838638,128,0,3000,451584,150.528,0.191742416241,5215.33012677,1017,0.00558303460164,952,0.00522620348157
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,0.01,cosine_similarity,0.00026479982788,0.012666754288,0.840707361698,0.896535813808,0.000976449365308,0.00033099978485,0.338983050847,0.168478890489,0.142793307184,1511,121736,0.0124121048827,1542,121736,0.012666754288,0.0118053691018,0.0130496120002,0.0120537461264,0.0133105177154,0.000472221847753,0.000882167308537,0.000163007447038,0.000430130601475,0.00025464940527,-0.000180718932773,0.000673588749425,-0.000380649752578,-0.000546149645003,-0.000231699849395,256,0,3000,901120,300.373333333,0.197321245176,5067.87801338,579,0.00317854182335,588,0.00322794920921
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,0.01,cosine_similarity,0.000496499677275,0.0122396004469,0.840707361698,0.866364300251,0.000976449365308,0.0006619995697,0.677966101695,0.168478890489,0.159243996491,1511,121736,0.0124121048827,1490,121736,0.0122396004469,0.0118053691018,0.0130496120002,0.011637151665,0.012872831452,0.000472221847753,0.000882167308537,0.000347820825568,0.000708687462462,-0.000172504435828,-0.000460011828876,0.000123217454163,-0.000148949903183,-0.00026479982788,-4.96499677275e-05,512,0,3000,1800192,600.064,0.191699875384,5216.48748075,287,0.00157554663783,247,0.00135595825625
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,0.01,cosine_similarity,0.000645449580458,0.012362817901,0.840707361698,0.842130899429,0.000976449365308,0.000976449365308,1,0.168478890489,0.168032040779,1511,121736,0.0124121048827,1505,121736,0.012362817901,0.0118053691018,0.0130496120002,0.01175730381,0.0129991064391,0.000472221847753,0.000882167308537,0.000472221847753,0.000882167308537,-4.92869816652e-05,-0.000131431951107,2.46434908326e-05,0,-4.96499677275e-05,4.96499677275e-05,1024,0,3000,3598336,1199.44533333,0.191758498894,5214.89272063,23,0.000126263319408,21,0.000115283900329
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,0.01,cosine_similarity,0.000645449580458,0.0124038903858,0.840707361698,0.840725541115,0.000976449365308,0.000976449365308,1,0.168478890489,0.168495440478,1511,121736,0.0124121048827,1510,121736,0.0124038903858,0.0118053691018,0.0130496120002,0.0117973580451,0.0130411945815,0.000472221847753,0.000882167308537,0.000472221847753,0.000882167308537,-8.21449694421e-06,-2.46434908326e-05,0,0,0,0,1536,0,3000,5396480,1798.82666667,0.2008641769,4978.48852608,1,5.48970953947e-06,0,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,negative_squared_l2_adc,0,0.00903594663863,0.840707361698,-0.290330290794,0.000976449365308,1.65499892425e-05,0.0169491525424,0.168478890489,0.071860053291,1511,121736,0.0124121048827,1100,121736,0.00903594663863,0.0118053691018,0.0130496120002,0.0085196589882,0.0095832186927,0.000472221847753,0.000882167308537,0,6.35720604942e-05,-0.00337615824407,-0.00389367155155,-0.00285843957416,-0.000645449580458,-0.00086059944061,-0.000446849709548,8,524288,3000,548288,182.762666667,0.00761717949704,131282.189213,1149,0.00630767626085,465,0.00255271493585
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,step4_search_space_tpir20_multi_fpir_v5,exploratory_dirty_evaluator,False,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,0.01,negative_squared_l2_adc,6.619995697e-05,0.00983275284222,0.840707361698,-0.310585737228,0.000976449365308,8.27499462125e-05,0.0847457627119,0.168478890489,0.0897174916836,1511,121736,0.0124121048827,1197,121736,0.00983275284222,0.0118053691018,0.0130496120002,0.00929373134049,0.0104027084617,0.000472221847753,0.000882167308537,2.57441620636e-05,0.000170219395435,-0.00257935204048,-0.00308865085102,-0.002061838733,-0.000579249623488,-0.00079439948364,-0.00039719974182,16,524288,3000,572288,190.762666667,0.0114549366213,87298.6060997,1056,0.00579713327368,507,0.00278328273651
