dataset,model_uid,run_id,compression_family,compression_profile,search_mode,threshold_policy,target_fpir,origin_false_accept_count,origin_fpir_denominator,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,compressed_minus_origin_fpir,origin_decision_threshold,compressed_decision_threshold,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,246,121736,0.00202076624827,0.00178372964531,0.00228922997809,0.000645449580458,0.000472221847753,0.000882167308537,3.3099978485e-05,9.07725491843e-06,0.000120690554078,-0.0103913386344,0.840707361698,0.840707361698,59,60423,0.000976449365308,2,60423,3.3099978485e-05,0.0338983050847,0.168478890489,0.113102626483,-0.0109745679175,-0.00983254747979,-0.000612349601973,-0.000827499462125,-0.000413749731063
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_direct_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1485,121736,0.0121985279621,0.0115971044992,0.0128307362404,0.000645449580458,0.000472221847753,0.000882167308537,0.00107574930076,0.00084417995063,0.00137075393619,-0.000213576920549,0.840707361698,0.74361461401,59,60423,0.000976449365308,66,60423,0.00109229929001,1.1186440678,0.168478890489,0.113102626483,-0.000796806203588,0.000394295853322,0.000430299720305,0.00013239991394,0.000744749515913
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,4296,121736,0.0352894788723,0.0342675781895,0.0363407071165,0.000645449580458,0.000472221847753,0.000882167308537,0.00218459858001,0.00184264490183,0.00258984655982,0.0228773739896,0.840707361698,0.840707361698,59,60423,0.000976449365308,208,60423,0.00344239776244,3.52542372881,0.168478890489,0.159243996491,0.0220394953013,0.0237565305251,0.00153914899955,0.00122469920395,0.0018701487844
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1490,121736,0.0122396004469,0.011637151665,0.012872831452,0.000645449580458,0.000472221847753,0.000882167308537,0.000496499677275,0.000347820825568,0.000708687462462,-0.000172504435828,0.840707361698,0.866364300251,59,60423,0.000976449365308,40,60423,0.0006619995697,0.677966101695,0.168478890489,0.159243996491,-0.000460011828876,0.000123217454163,-0.000148949903183,-0.00026479982788,-4.96499677275e-05
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,75,121736,0.000616087270816,0.000491571297931,0.000772119018872,0.000645449580458,0.000472221847753,0.000882167308537,0,0,6.35720604942e-05,-0.0117960176119,0.840707361698,0.840707361698,59,60423,0.000976449365308,0,60423,0,0,0.168478890489,0.12213892061,-0.012436953736,-0.0112127883288,-0.000645449580458,-0.00086059944061,-0.000446849709548
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_direct_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1485,121736,0.0121985279621,0.0115971044992,0.0128307362404,0.000645449580458,0.000472221847753,0.000882167308537,0.0012081492147,0.000961080359104,0.00151863652173,-0.000213576920549,0.840707361698,0.70562171936,59,60423,0.000976449365308,74,60423,0.00122469920395,1.25423728814,0.168478890489,0.12213892061,-0.0007803772097,0.000369652362489,0.000562699634245,0.000248249838638,0.000877149429853
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1611,121736,0.0132335545771,0.0126068161134,0.0138910125364,0.000645449580458,0.000472221847753,0.000882167308537,0.000711649537428,0.000528410538323,0.000958370114972,0.000821449694421,0.840707361698,0.840707361698,59,60423,0.000976449365308,64,60423,0.00105919931152,1.08474576271,0.168478890489,0.168032040779,0.000657159755537,0.000977525136361,6.619995697e-05,1.65499892425e-05,0.000148949903183
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1505,121736,0.012362817901,0.01175730381,0.0129991064391,0.000645449580458,0.000472221847753,0.000882167308537,0.000645449580458,0.000472221847753,0.000882167308537,-4.92869816652e-05,0.840707361698,0.842130899429,59,60423,0.000976449365308,59,60423,0.000976449365308,1,0.168478890489,0.168032040779,-0.000131431951107,2.46434908326e-05,0,-4.96499677275e-05,4.96499677275e-05
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,2020,121736,0.0165932838273,0.0158908051075,0.0173262700123,0.000645449580458,0.000472221847753,0.000882167308537,0.00110884927925,0.000873320465023,0.0014078091703,0.0041811789446,0.840707361698,0.840707361698,59,60423,0.000976449365308,68,60423,0.00112539926849,1.15254237288,0.168478890489,0.0803832977509,0.00350759019518,0.00487941118486,0.00046339969879,0.00013239991394,0.000777849494398
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_direct_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.000645449580458,0.000472221847753,0.000882167308537,0.00079439948364,0.000599268008606,0.00105300201594,0,0.840707361698,0.85123705864,59,60423,0.000976449365308,49,60423,0.000810949472883,0.830508474576,0.168478890489,0.0803832977509,-0.000632721627128,0.00062430176776,0.000148949903183,-0.000148949903183,0.000446849709548
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,43397,121736,0.356484523888,0.353798557536,0.359179547402,0.000645449580458,0.000472221847753,0.000882167308537,0.00983069361005,0.00907459062541,0.0106491187403,0.344072419005,0.840707361698,0.840707361698,59,60423,0.000976449365308,1589,60423,0.0262979329063,26.9322033898,0.168478890489,0.114327325687,0.341435565486,0.346758559506,0.00918524402959,0.00840698078546,0.00993040729524
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1494,121736,0.0122724584346,0.01166919068,0.0129065063389,0.000645449580458,0.000472221847753,0.000882167308537,0.00019859987091,0.000113615214535,0.000347131336973,-0.000139646448052,0.840707361698,0.930376946926,59,60423,0.000976449365308,14,60423,0.000231699849395,0.237288135593,0.168478890489,0.114327325687,-0.000714661234146,0.000452002694355,-0.000446849709548,-0.000645449580458,-0.000248249838638
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_384,pca_direct_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,72,121736,0.000591443779983,0.000469724801333,0.000744680089039,0.000645449580458,0.000472221847753,0.000882167308537,0,0,6.35720604942e-05,-0.0118206611027,0.840707361698,0.840707361698,59,60423,0.000976449365308,0,60423,0,0,0.168478890489,0.122734720222,-0.0124613918644,-0.0112210028258,-0.000645449580458,-0.00086059944061,-0.000446849709548
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_384,pca_direct_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1474,121736,0.0121081684958,0.0115090070454,0.012738120464,0.000645449580458,0.000472221847753,0.000882167308537,0.0012081492147,0.000961080359104,0.00151863652173,-0.000303936386936,0.840707361698,0.703866779804,59,60423,0.000976449365308,74,60423,0.00122469920395,1.25423728814,0.168478890489,0.122734720222,-0.00087895117303,0.000271283761582,0.000562699634245,0.000248249838638,0.000877149429853
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_384,pca_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.000645449580458,0.000472221847753,0.000882167308537,0.000645449580458,0.000472221847753,0.000882167308537,0,0.840707361698,0.840707361698,59,60423,0.000976449365308,59,60423,0.000976449365308,1,0.168478890489,0.168495440478,0,0,0,0,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1510,121736,0.0124038903858,0.0117973580451,0.0130411945815,0.000645449580458,0.000472221847753,0.000882167308537,0.000645449580458,0.000472221847753,0.000882167308537,-8.21449694421e-06,0.840707361698,0.840725541115,59,60423,0.000976449365308,59,60423,0.000976449365308,1,0.168478890489,0.168495440478,-2.46434908326e-05,0,0,0,0
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_64,pca_direct_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,624,121736,0.00512584609319,0.00474001544104,0.00554290791273,0.000645449580458,0.000472221847753,0.000882167308537,0.000182049881668,0.000101660194223,0.000325988483034,-0.00728625878951,0.840707361698,0.840707361698,59,60423,0.000976449365308,11,60423,0.000182049881668,0.186440677966,0.168478890489,0.10006123496,-0.00785326444109,-0.00672767299731,-0.00046339969879,-0.000695099548185,-0.000248249838638
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_64,pca_direct_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,0.000645449580458,0.000472221847753,0.000882167308537,0.000844049451368,0.000642073423591,0.00110949022371,0,0.840707361698,0.794222593307,59,60423,0.000976449365308,52,60423,0.00086059944061,0.881355932203,0.168478890489,0.10006123496,-0.000607872773871,0.000632516264704,0.00019859987091,-8.27499462125e-05,0.000496499677275
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_64,pca_reconstruction_cosine,frozen_origin,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,13104,121736,0.107642767957,0.105914125654,0.109396171654,0.000645449580458,0.000472221847753,0.000882167308537,0.00532909653609,0.00477919606025,0.00594189150913,0.0952306630742,0.840707361698,0.840707361698,59,60423,0.000976449365308,627,60423,0.0103768432551,10.6271186441,0.168478890489,0.142793307184,0.0936122018138,0.0969310639416,0.00468364695563,0.00415404729987,0.00522979660063
survface,arcface-7972a704552df378345f,20260810-R001-5d742943,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,0.01,1511,121736,0.0124121048827,0.0118053691018,0.0130496120002,1542,121736,0.012666754288,0.0120537461264,0.0133105177154,0.000645449580458,0.000472221847753,0.000882167308537,0.00026479982788,0.000163007447038,0.000430130601475,0.00025464940527,0.840707361698,0.896535813808,59,60423,0.000976449365308,20,60423,0.00033099978485,0.338983050847,0.168478890489,0.142793307184,-0.000180718932773,0.000673588749425,-0.000380649752578,-0.000546149645003,-0.000231699849395
