reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,partition_seed,target_fpir,reference_method,candidate_method,metric,resampling_unit,resamples,bootstrap_seed,reference_realized_fpir,candidate_realized_fpir,candidate_fallback_query_count,candidate_target_met,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
1182,1131,1054,121736,-0.00041893934415456396,-0.000657159755536571,-0.00018893342971676414,8972,0.01,baseline,plus_outside,fpir,query,2000,8972,0.009709535388052836,0.009290596043898272,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
155,151,140,60423,-6.619995697002797e-05,-0.00032632187522436517,0.00013753402749017924,8972,0.01,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.009709535388052836,0.009290596043898272,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1182,1162,1091,121736,-0.00016428993888414274,-0.0003860813563777354,4.928698166524282e-05,8972,0.01,baseline,plus_entropy,fpir,query,2000,8972,0.009709535388052836,0.009545245449168693,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
155,157,144,60423,3.3099978485013984e-05,-0.00016475288578785295,0.0002269941452794493,8972,0.01,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.009709535388052836,0.009545245449168693,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
1182,1144,1025,121736,-0.0003121508838798712,-0.0005832292830387067,-4.1072484721035685e-05,8972,0.01,baseline,plus_both,fpir,query,2000,8972,0.009709535388052836,0.009397384504172964,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
155,150,135,60423,-8.274994621253496e-05,-0.0004024643259414949,0.00018000575939917016,8972,0.01,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.009709535388052836,0.009397384504172964,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
5719,5471,5094,121736,-0.00203719524216337,-0.002562923046592627,-0.001503047578366302,8972,0.05,baseline,plus_outside,fpir,query,2000,8972,0.046978708023920616,0.044941512781757245,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
536,508,486,60423,-0.00046339969879019576,-0.000886027634002462,-9.944302326249488e-05,8972,0.05,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.046978708023920616,0.044941512781757245,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
5719,5799,5464,121736,0.000657159755536571,0.0002464349083262141,0.0010514556088585135,8972,0.05,baseline,plus_entropy,fpir,query,2000,8972,0.046978708023920616,0.047635867779457185,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
536,548,515,60423,0.00019859987091008392,-6.651581700411735e-05,0.0005040687176032785,8972,0.05,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.046978708023920616,0.047635867779457185,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
5719,5692,5080,121736,-0.0002217914174935927,-0.0008132351974765065,0.00036143786554511403,8972,0.05,baseline,plus_both,fpir,query,2000,8972,0.046978708023920616,0.04675691660642702,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
536,525,488,60423,-0.0001820498816675769,-0.0005540677259213555,0.00017695878902686192,8972,0.05,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.046978708023920616,0.04675691660642702,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11531,11402,10682,121736,-0.0010596701058027207,-0.0017250443582834988,-0.00042694847867516707,8972,0.1,baseline,plus_outside,fpir,query,2000,8972,0.09472136426365249,0.09366169415784978,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
927,911,858,60423,-0.0002647998278801119,-0.000696320785004698,0.00017127694239950415,8972,0.1,baseline,plus_outside,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09472136426365249,0.09366169415784978,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11531,11644,10993,121736,0.0009282381546954064,0.0003532233686009069,0.0014952438062693029,8972,0.1,baseline,plus_entropy,fpir,query,2000,8972,0.09472136426365249,0.0956496024183479,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
927,930,876,60423,4.964996772752098e-05,-0.0004033717445522829,0.0005504881240693253,8972,0.1,baseline,plus_entropy,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09472136426365249,0.0956496024183479,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
11531,11634,10518,121736,0.000846093185253335,8.193960701846655e-05,0.001560754419399356,8972,0.1,baseline,plus_both,fpir,query,2000,8972,0.09472136426365249,0.09556745744890582,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
927,935,859,60423,0.00013239991394005594,-0.00036395512225906106,0.0006381454461405444,8972,0.1,baseline,plus_both,tpir_at_rank_k,mated_identity_cluster,2000,8972,0.09472136426365249,0.09556745744890582,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
22693,22786,21627,121736,0.0007639482158112637,-1.6428993888414273e-05,0.0015032529407899061,8972,0.2,baseline,plus_outside,fpir,query,2000,8972,0.18641157915489256,0.1871755273707038,2,True,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
