dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m128_b8,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,465,0.976890756303,469,0.985294117647,468,0.983193277311,463,463,462,0.970588235294,462,0.970588235294,1,0.000592417061611,1,0.000592417061611,1531,0.707486136784,0.753864999987,-0.0216410638568,0.0276950064138,0,0,2149,0.993068391867,2149,0.993068391867,0,128,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m128_b8,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.396266043186,466,0.978991596639,465,0.976890756303,469,0.985294117647,468,0.983193277311,463,463,462,0.970588235294,462,0.970588235294,1,0.000592417061611,1,0.000592417061611,1531,0.707486136784,0.753864999987,-0.0216410638568,0.0276950064138,0,0,2149,0.993068391867,2149,0.993068391867,0,128,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m16_b8,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,461,0.968487394958,469,0.985294117647,469,0.985294117647,463,131,462,0.970588235294,131,0.275210084034,1,0.000592417061611,0,0,608,0.280961182994,0.365506782487,-0.101161525299,0.118389375248,332,0.153419593346,2149,0.993068391867,1819,0.840573012939,0,16,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m16_b8,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.20586296916,466,0.978991596639,461,0.968487394958,469,0.985294117647,469,0.985294117647,463,467,462,0.970588235294,429,0.901260504202,1,0.000592417061611,36,0.021327014218,608,0.280961182994,0.365506782487,-0.101161525299,0.118389375248,68,0.0314232902033,2149,0.993068391867,2081,0.961645101664,0,16,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m32_b8,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,462,0.970588235294,469,0.985294117647,469,0.985294117647,463,266,462,0.970588235294,266,0.558823529412,1,0.000592417061611,0,0,739,0.341497227357,0.441315958035,-0.0944338704885,0.101751252997,197,0.0910351201479,2149,0.993068391867,1954,0.902957486137,0,32,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m32_b8,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.195364743471,466,0.978991596639,462,0.970588235294,469,0.985294117647,469,0.985294117647,463,468,462,0.970588235294,461,0.968487394958,1,0.000592417061611,7,0.00414691943128,739,0.341497227357,0.441315958035,-0.0944338704885,0.101751252997,7,0.00323475046211,2149,0.993068391867,2142,0.989833641405,0,32,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m64_b8,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,454,462,0.970588235294,453,0.951680672269,1,0.000592417061611,1,0.000592417061611,1071,0.494916820702,0.575152288682,-0.0629388379422,0.0700027648921,9,0.00415896487985,2149,0.993068391867,2140,0.988909426987,0,64,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m64_b8,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.333183526993,466,0.978991596639,463,0.97268907563,469,0.985294117647,469,0.985294117647,463,463,462,0.970588235294,462,0.970588235294,1,0.000592417061611,1,0.000592417061611,1071,0.494916820702,0.575152288682,-0.0629388379422,0.0700027648921,0,0,2149,0.993068391867,2149,0.993068391867,0,64,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,frozen_origin,calibration,test,20,2164,476,1688,0.427400618792,0.427400618792,0.427400618792,466,0.978991596639,409,0.859243697479,469,0.985294117647,467,0.981092436975,463,138,462,0.970588235294,138,0.289915966387,1,0.000592417061611,0,0,540,0.249537892791,0.318134222146,-0.0716874381293,0.13090758229,325,0.150184842884,2149,0.993068391867,1826,0.843807763401,0,8,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260731-R001-de27340c,population-b45683682bbd2131728c03d3,origin-embedding-50f7ca1c92be57cf074bf1f5,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,recalibrated_compressed,calibration,test,20,2164,476,1688,,0.427400618792,0.285528510809,466,0.978991596639,409,0.859243697479,469,0.985294117647,467,0.981092436975,463,344,462,0.970588235294,307,0.644957983193,1,0.000592417061611,32,0.0189573459716,540,0.249537892791,0.318134222146,-0.0716874381293,0.13090758229,183,0.0845656192237,2149,0.993068391867,1963,0.907116451017,0,8,524288,faiss_centroids
