schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,fallback_query_count,fallback_query_fraction,saliency_branch_enabled,partition_seed,tpir_cluster95_low,tpir_cluster95_high,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
2,genuine-score-topk-v2,20,saliency-fallback-d7fa6461e20f8d849820c159,plus_entropy,0.2,negative_squared_l2_adc,182159,121736,60423,22179,1604,0.1821893277255701,0.1800310318989144,0.1843676803651096,0.026546182744981217,0.025294211668455278,0.027858350690930653,True,True,False,0,0.0,True,0,0.020212558015109894,0.03431160457391748,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-6de233a34eee0603d9828b82,plus_both,0.2,negative_squared_l2_adc,182159,121736,60423,22304,1600,0.18321613984359597,0.18105307564765674,0.18539919605101265,0.026479982788011187,0.02522957101259408,0.027790599849787125,True,True,False,0,0.0,True,0,0.020189869732101233,0.0341586792297988,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,continuous-threshold-2a201a4bb1bcd98e1bea2bb5,baseline,0.3,negative_squared_l2_adc,182159,121736,60423,33342,2340,0.27388775711375435,0.2713898115668938,0.2763999724487055,0.038726974827466364,0.03721764056863107,0.04029495723962288,True,True,False,0,0.0,False,0,0.030748078618819136,0.04809068279943993,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-f78df167b268d9d029e6f46f,plus_outside,0.3,negative_squared_l2_adc,182159,121736,60423,33385,2326,0.27424098048235523,0.2717420187687016,0.27675418969241566,0.038495274978071266,0.0369903784190067,0.04005884914973074,True,True,False,0,0.0,True,0,0.03049824138540247,0.04787097759177378,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-c24a13772c827724f8dc2f53,plus_entropy,0.3,negative_squared_l2_adc,182159,121736,60423,33369,2339,0.27410954853124797,0.27161096469553614,0.2766223881579466,0.03871042483822386,0.037201407062646914,0.04027809287135587,True,True,False,0,0.0,True,0,0.03064518834793912,0.048094003138557086,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-f315662dc2979941b7d5bf4b,plus_both,0.3,negative_squared_l2_adc,182159,121736,60423,33383,2326,0.27422455148846686,0.2717256369946132,0.2767377145155498,0.038495274978071266,0.0369903784190067,0.04005884914973074,True,True,False,0,0.0,True,0,0.03049559723805895,0.04797735618933449,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,continuous-threshold-4fe2a69a862659a532c25eec,baseline,0.01,negative_squared_l2_adc,182159,121736,60423,1665,93,0.013677137412104882,0.013039865268842238,0.014345101056651034,0.0015391489995531503,0.0012566709636137256,0.0018850034022401651,False,False,False,0,0.0,False,1,0.0009123685929725079,0.002302249654368137,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-452bb45670253a82b1538ab9,plus_outside,0.01,negative_squared_l2_adc,182159,121736,60423,1635,91,0.013430702503778669,0.012799260096354634,0.014092851964823737,0.0015060490210681364,0.0012269295265021885,0.0018485490908493438,False,False,False,0,0.0,True,1,0.0009174583179775844,0.0022186427490704297,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-dbb7f2f357dbdcac4a9b4414,plus_entropy,0.01,negative_squared_l2_adc,182159,121736,60423,1696,84,0.013931786817375304,0.013288547737396687,0.014605701327888652,0.0013901990963705875,0.0011231331307709146,0.0017206603668223621,False,False,False,0,0.0,True,1,0.0008362118286784958,0.0020536471019804645,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-3bff337dd8da664859a3cc5b,plus_both,0.01,negative_squared_l2_adc,182159,121736,60423,1675,88,0.013759282381546955,0.013120079151090763,0.014429171929174147,0.0014563990533406153,0.0011823868864094134,0.0017937981081885802,False,False,False,0,0.0,True,1,0.0009089665618868745,0.0021001166335725486,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,continuous-threshold-f6b4a9df9b88275087b8e511,baseline,0.05,negative_squared_l2_adc,182159,121736,60423,6328,476,0.05198133666294276,0.05074840096487133,0.05324254651063503,0.007877794879433329,0.007203501504118555,0.008614658699937038,False,False,False,0,0.0,False,1,0.0053636007323417745,0.010932592291462775,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-1d5107eef96ff2d5825d0714,plus_outside,0.05,negative_squared_l2_adc,182159,121736,60423,6251,480,0.05134882039823881,0.0501231005905033,0.05260285427326147,0.007943994836403356,0.007266768421706496,0.008683783279353811,False,False,False,0,0.0,True,1,0.005483961764145041,0.010973604733205017,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-eb7820fde50ac8fe9e073a0c,plus_entropy,0.05,negative_squared_l2_adc,182159,121736,60423,6217,460,0.05106952750213577,0.049847010506592175,0.05232037619094904,0.0076129950515532166,0.006950561487849363,0.008338032728187358,False,False,False,0,0.0,True,1,0.005265378450153068,0.010457955151966899,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-cd110100caf7a9f32f1eebac,plus_both,0.05,negative_squared_l2_adc,182159,121736,60423,6209,473,0.051003811526582114,0.049782049622899935,0.052253909270823976,0.007828144911705807,0.0071560595791471315,0.008562807002154922,False,False,False,0,0.0,True,1,0.0053967378255990765,0.010755397619888536,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,continuous-threshold-d442e5cda373b962a6f46162,baseline,0.1,negative_squared_l2_adc,182159,121736,60423,11440,854,0.09397384504172965,0.09234750645453363,0.09562580766023221,0.014133690813100971,0.013222897575206146,0.015106259095795249,True,True,False,0,0.0,False,1,0.01019829343313768,0.019117034027754387,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-243ec975b6d8f83372fb0455,plus_outside,0.1,negative_squared_l2_adc,182159,121736,60423,11239,850,0.09232273115594401,0.09070942743954519,0.09396176310431081,0.014067490856130944,0.013158875732102117,0.01503788944189456,True,True,False,0,0.0,True,1,0.009992304768988143,0.01915759768392312,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
2,genuine-score-topk-v2,20,saliency-fallback-546236485d7e54efe6bb8dae,plus_entropy,0.1,negative_squared_l2_adc,182159,121736,60423,11371,848,0.09340704475257935,0.09178516326857386,0.09505458603826772,0.014034390877645929,0.013126866810368894,0.015003702615125424,True,True,False,0,0.0,True,1,0.010112960108369241,0.018947299589661157,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
