sample_id,identity_id,protocol_role,aligned_face_index,prepared_row_index,raw_embedding_norm,heatmap_available,heatmap_index,gradcam_target_score,gradcam_valid_heatmap,raw_norm_bin,target_score_bin,faithfulness_stratum,selection_hash,faithfulness_selection_index,faithfulness_occlusion_fraction,high_saliency_occlusion_score_drop,low_saliency_occlusion_score_drop,random_occlusion_score_drop,random_occlusion_score_drop_std,faithfulness_gain_over_low_saliency,faithfulness_gain_over_random
survface:registered_probe:5826_cam1_207,survface:registered:3018,registered_probe,304318,304318,22.0271759033,True,23136,0.715468108654,True,q3,q3,registered_probe|norm=q3|score=q3,001540d42f8c54492d67cddae9b16c8a1cb6d5b260b4a92fe50396523ead6b0e,10,0.1,0.0403875112534,0.0823402404785,0.153449058533,0.0198870423663,-0.0419527292252,-0.113061547279
survface:registered_probe:9935_cam3_7,survface:registered:5289,registered_probe,340673,340673,21.6935939789,True,59491,0.786362528801,True,q3,q4,registered_probe|norm=q3|score=q4,0017733219743dfdbcf014c19e0787cf2eae2f9858b0cef145ed6538b28bf188,11,0.1,0.127583920956,0.319906592369,0.224852919579,0.0294694470726,-0.192322671413,-0.0972689986229
survface:registered_probe:8957_cam2_60,survface:registered:4730,registered_probe,321935,321935,22.9984321594,True,40753,0.536374807358,True,q4,q1,registered_probe|norm=q4|score=q1,00015f01afe19f935b9ac5c697155dd853c694acf15ff26f29bef58b55771ba3,12,0.1,0.157250851393,0.0245445370674,0.220776259899,0.0172804315897,0.132706314325,-0.0635254085064
survface:registered_probe:9707_cam3_52,survface:registered:5152,registered_probe,336555,336555,22.7101287842,True,55373,0.656915307045,True,q4,q2,registered_probe|norm=q4|score=q2,00047dc9b0a03164e8869b34deb67a189bb30512e53ebfb1a5ac00ab31f7ee9e,13,0.1,0.113551735878,0.212425410748,0.197785824537,0.037842103817,-0.0988736748695,-0.0842340886593
survface:registered_probe:10580_cam4_44,survface:registered:0324,registered_probe,290330,290330,24.4526634216,True,9148,0.705965042114,True,q4,q3,registered_probe|norm=q4|score=q3,00097e2520646ec5c9ce802cd75ac8109faecbe28bddf8446b50d587bdb5f8a4,14,0.1,0.0748258829117,0.124241709709,0.141557812691,0.0112146652908,-0.0494158267975,-0.0667319297791
survface:registered_probe:5578_cam2_159,survface:registered:2888,registered_probe,296005,296005,23.8550128937,True,14823,0.793809473515,True,q4,q4,registered_probe|norm=q4|score=q4,001fe8917fa8a3370e473258a53e00271616a32ad962cdd3b79a87762e90f35f,15,0.1,0.212825775146,0.557735443115,0.549975320697,0.0197496577903,-0.344909667969,-0.337149560452
survface:unknown_unknown_probe:9359_cam1_64,survface:unmated:9359_cam1_64,unknown_unknown_probe,413733,413733,18.2054424286,True,132551,0.526998400688,True,q1,q1,unknown_unknown_probe|norm=q1|score=q1,002fb28c5c882d6d45134dfe7fae19170389c8b1c8f20823ad3012740dd4f54b,16,0.1,0.186329305172,0.17730012536,0.301855251193,0.0378068272923,0.00902917981148,-0.115525946021
survface:unknown_unknown_probe:9004_cam1_44,survface:unmated:9004_cam1_44,unknown_unknown_probe,403102,403102,19.0598945618,True,121920,0.676748871803,True,q1,q2,unknown_unknown_probe|norm=q1|score=q2,00058ea87de29358c60319c4032ea6caed579271fce8fb2a5ee6d8473c59a150,17,0.1,0.146818518639,0.180309474468,0.244628757238,0.033678137304,-0.0334909558296,-0.0978102385998
survface:unknown_unknown_probe:distractors_14948,survface:unmated:distractors_14948,unknown_unknown_probe,440364,440364,16.2881469727,True,159182,0.712829232216,True,q1,q3,unknown_unknown_probe|norm=q1|score=q3,00081d63c8c44c020aa1d3cd27143d6bcfbd10452b0b71b26a14898ed4d6a45e,18,0.1,0.310003727674,0.208262979984,0.231755703688,0.019024442607,0.10174074769,0.0782480239868
survface:unknown_unknown_probe:9822_cam1_69,survface:unmated:9822_cam1_69,unknown_unknown_probe,428601,428601,18.1317367554,True,147419,0.743996620178,True,q1,q4,unknown_unknown_probe|norm=q1|score=q4,0005ed2194cb45ec7750b9c5c9fe20dbaf527b70fa555bbb2cc768bee5a7fdc8,19,0.1,0.0581703186035,0.0815817117691,0.11479729414,0.0216916564907,-0.0234113931656,-0.0566269755363
survface:unknown_unknown_probe:distractors_21179,survface:unmated:distractors_21179,unknown_unknown_probe,447288,447288,19.8058738708,True,166106,0.50446164608,True,q2,q1,unknown_unknown_probe|norm=q2|score=q1,0007de059a7af620103f65ea1a455be887732ddf06f61cb80f149a636144e181,20,0.1,0.1898021698,0.158129692078,0.243215411901,0.0276837471374,0.0316724777222,-0.0534132421017
survface:unknown_unknown_probe:5668_cam1_64,survface:unmated:5668_cam1_64,unknown_unknown_probe,371792,371792,20.2930660248,True,90610,0.670164525509,True,q2,q2,unknown_unknown_probe|norm=q2|score=q2,0000e49ff1b682899ce0e61c165d8a7c8b3f13fa4687e0f4676dec803f688686,21,0.1,0.172583222389,0.355509102345,0.389759361744,0.0264917544732,-0.182925879955,-0.217176139355
survface:unknown_unknown_probe:5364_cam7_10,survface:unmated:5364_cam7_10,unknown_unknown_probe,364685,364685,20.7232208252,True,83503,0.695317983627,True,q2,q3,unknown_unknown_probe|norm=q2|score=q3,00029ad05713297b9b3e905f2b6b891549637a20d6cafdb35c3715a865ac5482,22,0.1,0.116159319878,0.257271647453,0.200645536184,0.0109606853102,-0.141112327576,-0.0844862163067
survface:unknown_unknown_probe:9671_cam1_54,survface:unmated:9671_cam1_54,unknown_unknown_probe,424300,424300,20.7746543884,True,143118,0.760224640369,True,q2,q4,unknown_unknown_probe|norm=q2|score=q4,0000b918691676cf4a9f87ea4164d8e55dad1d41c472ce54c35257c09aeda86c,23,0.1,0.0260426402092,0.279681354761,0.342166423798,0.0301947542805,-0.253638714552,-0.316123783588
survface:unknown_unknown_probe:67_cam1_1,survface:unmated:67_cam1_1,unknown_unknown_probe,384335,384335,21.657409668,True,103153,0.58684104681,True,q3,q1,unknown_unknown_probe|norm=q3|score=q1,0007373d49e3c55d599b4f6d923a7ad86413a91fd08a403a1de4657b5fb4d7a2,24,0.1,0.267099499702,0.295253932476,0.181475400925,0.0395600608454,-0.0281544327736,0.0856240987778
survface:unknown_unknown_probe:distractors_21305,survface:unmated:distractors_21305,unknown_unknown_probe,447429,447429,22.1744270325,True,166247,0.658810257912,True,q3,q2,unknown_unknown_probe|norm=q3|score=q2,0004640dfee6de8866914e39488b10e77fddad64f0d496d410e68921f9d8f5c7,25,0.1,0.0257571935654,0.200597971678,0.150146186352,0.0222713822406,-0.174840778112,-0.124388992786
survface:unknown_unknown_probe:10629_cam1_39,survface:unmated:10629_cam1_39,unknown_unknown_probe,359143,359143,22.7061462402,True,77961,0.691712677479,True,q3,q3,unknown_unknown_probe|norm=q3|score=q3,00003473bcdef010f016c5e1dc3598a3ddcf9f332b8079d3c6247e479c7ee739,26,0.1,0.0120216012001,0.281817317009,0.280401915312,0.0294808579669,-0.269795715809,-0.268380314112
survface:unknown_unknown_probe:5825_cam1_53,survface:unmated:5825_cam1_53,unknown_unknown_probe,378840,378840,21.3134269714,True,97658,0.751175522804,True,q3,q4,unknown_unknown_probe|norm=q3|score=q4,0004a5e25e30e5b9fa2a237e4e2cf9b1476d5978655673bd851cc4df7669b712,27,0.1,0.397513121367,0.42896270752,0.259786248207,0.0410404921342,-0.031449586153,0.137726873159
survface:unknown_unknown_probe:8335_cam2_39,survface:unmated:8335_cam2_39,unknown_unknown_probe,389078,389078,24.7478675842,True,107896,0.598513782024,True,q4,q1,unknown_unknown_probe|norm=q4|score=q1,0002b4e1b6a3e6b1ee4a1ce7eaf7312b2f41c3a49555c878a09894d5a4183c69,28,0.1,0.0235252380371,0.370815843344,0.294285714626,0.014628822964,-0.347290605307,-0.270760476589
