partition_seed,target_fpir,method,split,partition,route,query_count,mated_count,non_mated_count,false_accept_count,true_identification_at_rank_k_count,tpir_available,realized_fpir,tpir_at_rank_k,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
0,0.05,plus_both,calibration,fit,saliency,109702,42638,67064,3262,,False,0.04864010497435286,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,calibration,safety,saliency,50705,18944,31761,1588,,False,0.04999842574226252,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,test,test,saliency,182157,60422,121735,5747,539.0,True,0.047209101737380375,0.008920591837410214,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.05,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,baseline,calibration,fit,baseline,109703,42639,67064,6602,,False,0.09844327806274604,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,baseline,calibration,safety,baseline,50705,18944,31761,3176,,False,0.09999685148452504,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,baseline,test,test,baseline,182159,60423,121736,11440,914.0,True,0.09397384504172965,0.015126690167651391,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,calibration,fit,saliency,109702,42638,67064,6628,,False,0.09883096743409281,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,calibration,safety,saliency,50705,18944,31761,3176,,False,0.09999685148452504,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,test,test,saliency,182157,60422,121735,11364,913.0,True,0.09335031009980696,0.015110390255205058,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_outside,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,calibration,fit,saliency,109702,42638,67064,6557,,False,0.09777227722772278,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,calibration,safety,saliency,50705,18944,31761,3176,,False,0.09999685148452504,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,test,test,saliency,182157,60422,121735,11489,919.0,True,0.09437713065264715,0.015209691834100161,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_entropy,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,calibration,fit,saliency,109702,42638,67064,6655,,False,0.09923356793510676,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,calibration,safety,saliency,50705,18944,31761,3176,,False,0.09999685148452504,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,test,test,saliency,182157,60422,121735,11526,927.0,True,0.09468106953628784,0.015342093939293635,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.1,plus_both,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,baseline,calibration,fit,baseline,109703,42639,67064,13178,,False,0.1964988667541453,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,baseline,calibration,safety,baseline,50705,18944,31761,6352,,False,0.19999370296905009,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,baseline,test,test,baseline,182159,60423,121736,22894,1702.0,True,0.18806269304067819,0.0281680816907469,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,calibration,fit,saliency,109702,42638,67064,13230,,False,0.19727424549683883,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,calibration,safety,saliency,50705,18944,31761,6352,,False,0.19999370296905009,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,test,test,saliency,182157,60422,121735,22898,1707.0,True,0.18809709615147657,0.02825129919565721,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_outside,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,calibration,fit,saliency,109702,42638,67064,13102,,False,0.19536562089943935,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,calibration,safety,saliency,50705,18944,31761,6352,,False,0.19999370296905009,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,test,test,saliency,182157,60422,121735,22866,1688.0,True,0.18783423008994948,0.027936844195822715,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_entropy,test,test,fiqa_fallback,2,1,1,0,0.0,True,0.0,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_both,calibration,fit,saliency,109702,42638,67064,13305,,False,0.1983925802218776,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_both,calibration,fit,fiqa_fallback,1,1,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_both,calibration,safety,saliency,50705,18944,31761,6352,,False,0.19999370296905009,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
0,0.2,plus_both,calibration,safety,fiqa_fallback,0,0,0,0,,False,,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
