dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.303909952607,128,0,50,6400,128,0.00288803143837,346256.618509,0,0,519,0.239833641405
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.0148104265403,256,0,50,12800,256,0.02287259704,43720.4397144,0,0,24,0.0110905730129
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00501104437724,199559.198586,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00494875230843,202071.135849,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00857726432807,116587.289578,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.953781512605,0.0225118483412,128,0,50,6400,128,0.00288803143837,346256.618509,9,0.00415896487985,38,0.0175600739372
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.970588235294,0.00177725118483,256,0,50,12800,256,0.02287259704,43720.4397144,1,0.000462107208872,2,0.000924214417745
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00501104437724,199559.198586,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00494875230843,202071.135849,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_direct_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00857726432807,116587.289578,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.535545023697,128,0,50,6400,128,0.00467421439633,213939.694505,0,0,913,0.421903881701
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.031990521327,256,0,50,12800,256,0.00503974123823,198422.885765,0,0,53,0.0244916820702
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00439413123619,227576.270768,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00535702404296,186670.806773,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,frozen_origin,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00435360444816,229694.730402,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.957983193277,0.0219194312796,128,0,50,6400,128,0.00467421439633,213939.694505,7,0.00323475046211,37,0.0170979667283
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.00236966824645,256,0,50,12800,256,0.00503974123823,198422.885765,0,0,3,0.00138632162662
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.00118483412322,512,0,50,25600,512,0.00439413123619,227576.270768,0,0,1,0.000462107208872
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1024,0,50,51200,1024,0.00535702404296,186670.806773,0,0,0,0
lfw,magface-6931178ad2025e1b3799,20260804-R001-325af0c4,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.97268907563,0.000592417061611,1536,0,50,76800,1536,0.00435360444816,229694.730402,0,0,0,0
