dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,arcface-7972a704552df378345f,20260902-R001-61915edf,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000135764469177,0.000198579739378,0.264899562988,0.323499131421,0.96470259305,0.948128899417,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260902-R001-61915edf,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000895470172446,0.0013110894551,0.741820693083,0.955558313915,0.73242769232,0.577152908542,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260902-R001-61915edf,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000720205429733,0.00104931840882,0.650126604863,0.821559688074,0.792757684709,0.681080018524,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260902-R001-61915edf,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.00043186564651,0.000625245271199,0.486861391918,0.60069075191,0.882290012708,0.824945390174,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260902-R001-61915edf,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.000988696242178,0.00145335350984,0.790016704542,1.03164078956,0.697916957066,0.513411505375,0,8,524288,faiss_centroids,524288,faiss_centroids
