dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m128_b8,frozen_origin,calibration,test,20,182159,60423,121736,0.686036229134,0.686036229134,0.686036229134,2129,0.0352349270973,2081,0.0344405276137,9127,0.151051751816,9004,0.14901610314,93848,85071,1081,0.0178905383712,913,0.0151101401784,61679,0.506661957022,55883,0.459050732733,124988,0.686147815919,0.696998405066,-0.0090913796638,0.0133067151477,10467,0.0574607897496,61138,0.335629861824,66766,0.366525947112,0,128,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m128_b8,recalibrated_compressed,calibration,test,20,182159,60423,121736,,0.686036229134,0.67304110527,2129,0.0352349270973,2081,0.0344405276137,9127,0.151051751816,9004,0.14901610314,93848,96788,1081,0.0178905383712,1037,0.0171623388445,61679,0.506661957022,63619,0.522598081094,124988,0.686147815919,0.696998405066,-0.0090913796638,0.0133067151477,7698,0.0422597840348,61138,0.335629861824,59154,0.324738278098,0,128,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m16_b8,frozen_origin,calibration,test,20,182159,60423,121736,0.686036229134,0.686036229134,0.686036229134,2129,0.0352349270973,720,0.0119159922546,9127,0.151051751816,4786,0.0792082485146,93848,153363,1081,0.0178905383712,586,0.00969829369611,61679,0.506661957022,102146,0.839078004863,31110,0.170784863773,0.249755705529,0.0882439909352,0.0885612297353,59843,0.32852068797,61138,0.335629861824,20176,0.110760379668,0,16,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m16_b8,recalibrated_compressed,calibration,test,20,182159,60423,121736,,0.686036229134,0.80474448204,2129,0.0352349270973,720,0.0119159922546,9127,0.151051751816,4786,0.0792082485146,93848,57870,1081,0.0178905383712,212,0.00350859771941,61679,0.506661957022,38188,0.313695209305,31110,0.170784863773,0.249755705529,0.0882439909352,0.0885612297353,40848,0.224243655268,61138,0.335629861824,83760,0.459818071026,0,16,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m32_b8,frozen_origin,calibration,test,20,182159,60423,121736,0.686036229134,0.686036229134,0.686036229134,2129,0.0352349270973,1194,0.0197606871556,9127,0.151051751816,6778,0.112175827086,93848,118689,1081,0.0178905383712,619,0.0102444433411,61679,0.506661957022,78565,0.645371952422,49051,0.26927574262,0.351913161255,0.0294362479602,0.0355573068271,28923,0.15877886901,61138,0.335629861824,43790,0.240394380733,0,32,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m32_b8,recalibrated_compressed,calibration,test,20,182159,60423,121736,,0.686036229134,0.737069487572,2129,0.0352349270973,1194,0.0197606871556,9127,0.151051751816,6778,0.112175827086,93848,68686,1081,0.0178905383712,356,0.00589179617033,61679,0.506661957022,45366,0.372658868371,49051,0.26927574262,0.351913161255,0.0294362479602,0.0355573068271,29672,0.162890661455,61138,0.335629861824,76726,0.421203454125,0,32,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m64_b8,frozen_origin,calibration,test,20,182159,60423,121736,0.686036229134,0.686036229134,0.686036229134,2129,0.0352349270973,1737,0.0287473313142,9127,0.151051751816,8126,0.134485212585,93848,80586,1081,0.0178905383712,660,0.0109229929001,61679,0.506661957022,52947,0.434932969705,76583,0.420418425661,0.476780412951,-0.010870580723,0.0239004774228,18388,0.100944779012,61138,0.335629861824,69449,0.381254837807,0,64,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m64_b8,recalibrated_compressed,calibration,test,20,182159,60423,121736,,0.686036229134,0.674300909042,2129,0.0352349270973,1737,0.0287473313142,9127,0.151051751816,8126,0.134485212585,93848,92810,1081,0.0178905383712,752,0.0124455919104,61679,0.506661957022,61098,0.501889334297,76583,0.420418425661,0.476780412951,-0.010870580723,0.0239004774228,14710,0.0807536273256,61138,0.335629861824,61390,0.337013268628,0,64,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m8_b8,frozen_origin,calibration,test,20,182159,60423,121736,0.686036229134,0.686036229134,0.686036229134,2129,0.0352349270973,470,0.00777849494398,9127,0.151051751816,3507,0.0580408122735,93848,176808,1081,0.0178905383712,457,0.00756334508383,61679,0.506661957022,118175,0.970748176382,16972,0.0931713503039,0.163696701231,0.149664532434,0.149719750369,83012,0.45571176829,61138,0.335629861824,4018,0.0220576529296,0,8,524288,faiss_centroids
survface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,population-fc5f568697de0e78f56d71fb,origin-embedding-f0093b4aa0b2ce25e8257f05,qmul-survface-v1-official-open-set-identification,pq,pq_512_m8_b8,recalibrated_compressed,calibration,test,20,182159,60423,121736,,0.686036229134,0.857099294662,2129,0.0352349270973,470,0.00777849494398,9127,0.151051751816,3507,0.0580408122735,93848,64627,1081,0.0178905383712,191,0.00316104794532,61679,0.506661957022,42944,0.352763356772,16972,0.0931713503039,0.163696701231,0.149664532434,0.149719750369,42641,0.234086704472,61138,0.335629861824,78983,0.433593728556,0,8,524288,faiss_centroids
