method,target_fpir,split_count,target_met_split_count,fpir_min,fpir_median,fpir_max,tpir_min,tpir_median,tpir_max
continuous_fiqa,0.01,1,0,0.012699612275744234,0.012699612275744234,0.012699612275744234,0.0014232990748556014,0.0014232990748556014,0.0014232990748556014
continuous_fiqa,0.05,1,0,0.05251527896431622,0.05251527896431622,0.05251527896431622,0.008175694685798453,0.008175694685798453,0.008175694685798453
continuous_fiqa,0.1,1,1,0.09887789971742131,0.09887789971742131,0.09887789971742131,0.014878440329013786,0.014878440329013786,0.014878440329013786
continuous_fiqa,0.2,1,1,0.18743839127291845,0.18743839127291845,0.18743839127291845,0.027406782185591578,0.027406782185591578,0.027406782185591578
continuous_fiqa,0.3,1,1,0.2780853650522442,0.2780853650522442,0.2780853650522442,0.03943862436489416,0.03943862436489416,0.03943862436489416
continuous_fiqa_margin,0.01,1,0,0.013849641847933233,0.013849641847933233,0.013849641847933233,0.0012908991609155455,0.0012908991609155455,0.0012908991609155455
continuous_fiqa_margin,0.05,1,0,0.05266313990931196,0.05266313990931196,0.05266313990931196,0.00693444549261043,0.00693444549261043,0.00693444549261043
continuous_fiqa_margin,0.1,1,1,0.09862325031215088,0.09862325031215088,0.09862325031215088,0.01408404084537345,0.01408404084537345,0.01408404084537345
continuous_fiqa_margin,0.2,1,1,0.18744660576986266,0.18744660576986266,0.18744660576986266,0.026926832497558877,0.026926832497558877,0.026926832497558877
continuous_fiqa_margin,0.3,1,1,0.2780196490766905,0.2780196490766905,0.2780196490766905,0.03907452460155901,0.03907452460155901,0.03907452460155901
continuous_fiqa_margin_distortion,0.01,1,0,0.012124597489649733,0.012124597489649733,0.012124597489649733,0.0007943994836403357,0.0007943994836403357,0.0007943994836403357
continuous_fiqa_margin_distortion,0.05,1,0,0.05714825524084905,0.05714825524084905,0.05714825524084905,0.005957996127302518,0.005957996127302518,0.005957996127302518
continuous_fiqa_margin_distortion,0.1,1,0,0.10816028126437537,0.10816028126437537,0.10816028126437537,0.012793141684457904,0.012793141684457904,0.012793141684457904
continuous_fiqa_margin_distortion,0.2,1,0,0.2068574620490241,0.2068574620490241,0.2068574620490241,0.025023583734670573,0.025023583734670573,0.025023583734670573
continuous_fiqa_margin_distortion,0.3,1,0,0.3006259446671486,0.3006259446671486,0.3006259446671486,0.03614517650563527,0.03614517650563527,0.03614517650563527
continuous_fiqa_runnerup,0.01,1,1,0.009192022080567786,0.009192022080567786,0.009192022080567786,0.006702745643215332,0.006702745643215332,0.006702745643215332
continuous_fiqa_runnerup,0.05,1,1,0.04918019320496813,0.04918019320496813,0.04918019320496813,0.012412491931880244,0.012412491931880244,0.012412491931880244
continuous_fiqa_runnerup,0.1,1,0,0.10139153578234869,0.10139153578234869,0.10139153578234869,0.016053489565231782,0.016053489565231782,0.016053489565231782
continuous_fiqa_runnerup,0.2,1,0,0.2006144443714267,0.2006144443714267,0.2006144443714267,0.02080333647783129,0.02080333647783129,0.02080333647783129
continuous_fiqa_runnerup,0.3,1,1,0.2982273115594401,0.2982273115594401,0.2982273115594401,0.024394684143455306,0.024394684143455306,0.024394684143455306
fiqa_2bin,0.01,1,0,0.014038575277649996,0.014038575277649996,0.014038575277649996,0.0012412491931880244,0.0012412491931880244,0.0012412491931880244
fiqa_2bin,0.05,1,0,0.051858119208779654,0.051858119208779654,0.051858119208779654,0.006950995481852937,0.006950995481852937,0.006950995481852937
fiqa_2bin,0.1,1,1,0.09369455214562661,0.09369455214562661,0.09369455214562661,0.01304139152309551,0.01304139152309551,0.01304139152309551
fiqa_2bin,0.2,1,1,0.18011105999868568,0.18011105999868568,0.18011105999868568,0.025222183605580657,0.025222183605580657,0.025222183605580657
fiqa_2bin,0.3,1,1,0.27006801603469804,0.27006801603469804,0.27006801603469804,0.03806497525776608,0.03806497525776608,0.03806497525776608
fiqa_5bin,0.01,1,0,0.012494249852139054,0.012494249852139054,0.012494249852139054,0.0012577991824305314,0.0012577991824305314,0.0012577991824305314
fiqa_5bin,0.05,1,0,0.05334494315568115,0.05334494315568115,0.05334494315568115,0.0073978451914006255,0.0073978451914006255,0.0073978451914006255
fiqa_5bin,0.1,1,1,0.09823716895577315,0.09823716895577315,0.09823716895577315,0.013637191135825762,0.013637191135825762,0.013637191135825762
fiqa_5bin,0.2,1,1,0.18458796083327858,0.18458796083327858,0.18458796083327858,0.025900733164523442,0.025900733164523442,0.025900733164523442
fiqa_5bin,0.3,1,1,0.27559637247814944,0.27559637247814944,0.27559637247814944,0.03890902470913394,0.03890902470913394,0.03890902470913394
global_safe,0.01,1,0,0.014071433265426826,0.014071433265426826,0.014071433265426826,0.0012246992039455175,0.0012246992039455175,0.0012246992039455175
global_safe,0.05,1,0,0.05268778340014457,0.05268778340014457,0.05268778340014457,0.006967545471095443,0.006967545471095443,0.006967545471095443
global_safe,0.1,1,1,0.09537852401918906,0.09537852401918906,0.09537852401918906,0.012743491716730384,0.012743491716730384,0.012743491716730384
global_safe,0.2,1,1,0.1798974830781363,0.1798974830781363,0.1798974830781363,0.02421263426178773,0.02421263426178773,0.02421263426178773
global_safe,0.3,1,1,0.26823618321613985,0.26823618321613985,0.26823618321613985,0.03541697697896496,0.03541697697896496,0.03541697697896496
