schema_version,metric_contract,rank_k,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,partition_seed,tpir_cluster95_low,tpir_cluster95_high
2,genuine-score-topk-v2,20,conditional-threshold-2af8706baa90845afe6bc522,global_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1713,74,0.014071433265426826,0.013424946085206342,0.014748587063190776,0.0012246992039455175,0.0009757533036818375,0.001537061451399645,False,False,False,8972,0.0005237263788493855,0.002046737612240024
2,genuine-score-topk-v2,20,conditional-threshold-4178ebd88d622ec5c913dd52,fiqa_2bin,0.01,negative_squared_l2_adc,182159,121736,60423,1709,75,0.014038575277649996,0.013392850840657907,0.014714968405830553,0.0012412491931880244,0.0009904387667076747,0.0015554738626249872,False,False,False,8972,0.0005534195819220167,0.0020938983397173357
2,genuine-score-topk-v2,20,conditional-threshold-28f4251d23fcb92954c160ff,fiqa_5bin,0.01,negative_squared_l2_adc,182159,121736,60423,1521,76,0.012494249852139054,0.011885483494880203,0.013133782361901531,0.0012577991824305314,0.001005136502080018,0.0015738740015038234,False,False,False,8972,0.0007050637939035455,0.001977483140955691
2,genuine-score-topk-v2,20,continuous-threshold-ea368e4ae2445fad8aefd67f,continuous_fiqa,0.01,negative_squared_l2_adc,182159,121736,60423,1546,86,0.012699612275744234,0.012085799554646002,0.013344178189064823,0.0014232990748556014,0.0011527399628053926,0.0017572492832902426,False,False,False,8972,0.0008506771546662932,0.0020893049959095694
2,genuine-score-topk-v2,20,continuous-threshold-02febd4d7f4495ce7138e34f,continuous_fiqa_margin,0.01,negative_squared_l2_adc,182159,121736,60423,1686,78,0.013849641847933233,0.01320832133753788,0.014521642972975824,0.0012908991609155455,0.0010345678449393979,0.0016106384071468023,False,False,False,8972,0.0006542289168655649,0.002054897037055457
2,genuine-score-topk-v2,20,continuous-threshold-c928a168a74245617bc4f9cb,continuous_fiqa_margin_distortion,0.01,negative_squared_l2_adc,182159,121736,60423,1476,48,0.012124597489649733,0.011525024115797918,0.012754960344511464,0.0007943994836403357,0.000599268008606345,0.001053002015944474,False,False,False,8972,0.00036580751004082197,0.001334742570780067
2,genuine-score-topk-v2,20,continuous-threshold-c4582b83642b5b844d793729,continuous_fiqa_runnerup,0.01,negative_squared_l2_adc,182159,121736,60423,1119,405,0.009192022080567786,0.008671202733875567,0.009743815981086468,0.006702745643215332,0.0060827725429361944,0.007385438589285661,True,True,False,8972,0.004410637714749161,0.00951713201491658
2,genuine-score-topk-v2,20,conditional-threshold-4ee8d472b70270e6fd84c3d7,global_safe,0.05,negative_squared_l2_adc,182159,121736,60423,6414,421,0.05268778340014457,0.051446849059156426,0.053956947307385976,0.006967545471095443,0.006334932689367146,0.007662844430873578,False,False,False,8972,0.004255482863429485,0.010425788522141769
2,genuine-score-topk-v2,20,conditional-threshold-d11a68efc19c072303f7d99b,fiqa_2bin,0.05,negative_squared_l2_adc,182159,121736,60423,6313,420,0.051858119208779654,0.05062658514864644,0.053117935194702474,0.006950995481852937,0.0063191654443078655,0.00764551380168168,False,False,False,8972,0.004215238086139673,0.010485738627228038
2,genuine-score-topk-v2,20,conditional-threshold-ab95ed11d9b780a1c73340f3,fiqa_5bin,0.05,negative_squared_l2_adc,182159,121736,60423,6494,447,0.05334494315568115,0.05209662466016413,0.05462144974455136,0.0073978451914006255,0.00674520350106097,0.00811311834971042,False,False,False,8972,0.005060556548535431,0.010258124839750327
2,genuine-score-topk-v2,20,continuous-threshold-ca71adce572d38cce0a69143,continuous_fiqa,0.05,negative_squared_l2_adc,182159,121736,60423,6393,494,0.05251527896431622,0.051276291935480466,0.05378250644604151,0.008175694685798453,0.0074882996765840044,0.008925622263992815,False,False,False,8972,0.0056745812739179115,0.011224459882281573
