dataset_id,model_uid,run_id,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,gallery_payload_bytes_per_vector,query_payload_bytes_per_vector,codec_parameter_bytes,protocol,open_set_protocol,fpir_tpir_metrics_applicable,score_kind,query_count,gallery_count,match_gallery_count,mean_average_precision,search_latency_ms_total,search_latency_ms_per_query,search_queries_per_second,ranking_implementation,compute_backend,confidence_interval_contract,rank_1,rank_1_success_count,rank_1_denominator,rank_1_wilson95_low,rank_1_wilson95_high,rank_5,rank_5_success_count,rank_5_denominator,rank_5_wilson95_low,rank_5_wilson95_high,rank_10,rank_10_success_count,rank_10_denominator,rank_10_wilson95_low,rank_10_wilson95_high,rank_20,rank_20_success_count,rank_20_denominator,rank_20_wilson95_low,rank_20_wilson95_high,mean_gallery_angular_error,p95_gallery_angular_error,compressed_minus_origin_map,compressed_minus_origin_map_paired_bootstrap95_low,compressed_minus_origin_map_paired_bootstrap95_high,paired_bootstrap_resamples,paired_bootstrap_random_seed,compressed_minus_origin_rank_1,compressed_minus_origin_rank_1_paired_bootstrap95_low,compressed_minus_origin_rank_1_paired_bootstrap95_high,compressed_minus_origin_rank_5,compressed_minus_origin_rank_5_paired_bootstrap95_low,compressed_minus_origin_rank_5_paired_bootstrap95_high,compressed_minus_origin_rank_10,compressed_minus_origin_rank_10_paired_bootstrap95_low,compressed_minus_origin_rank_10_paired_bootstrap95_high,compressed_minus_origin_rank_20,compressed_minus_origin_rank_20_paired_bootstrap95_low,compressed_minus_origin_rank_20_paired_bootstrap95_high,pq_m,pq_nbits,native_compressed_search,official_metric_implementation,native_latency_measurement_repeats,native_latency_timer,native_compressed_index_build_latency_ms,native_compressed_gallery_add_latency_ms,native_compressed_search_latency_ms_total,native_compressed_search_latency_ms_per_query,native_compressed_search_queries_per_second,native_score_equivalence_audit_version,native_score_equivalence_checked_count,native_score_equivalence_violation_count,native_score_equivalence_max_absolute_error,native_score_equivalence_max_relative_error,native_score_equivalence_relative_tolerance,native_score_equivalence_absolute_tolerance,native_score_equivalence_passed,native_rank_tie_policy,decoded_rank_tie_policy,decoded_native_rank_exact_match_required,native_rank_1,native_rank_1_success_count,native_rank_1_denominator,decoded_native_rank_1_mismatch_count,decoded_native_rank_1_native_only_count,decoded_native_rank_1_decoded_only_count,decoded_native_rank_1_agreement_rate,native_rank_5,native_rank_5_success_count,native_rank_5_denominator,decoded_native_rank_5_mismatch_count,decoded_native_rank_5_native_only_count,decoded_native_rank_5_decoded_only_count,decoded_native_rank_5_agreement_rate,native_rank_10,native_rank_10_success_count,native_rank_10_denominator,decoded_native_rank_10_mismatch_count,decoded_native_rank_10_native_only_count,decoded_native_rank_10_decoded_only_count,decoded_native_rank_10_agreement_rate,native_rank_20,native_rank_20_success_count,native_rank_20_denominator,decoded_native_rank_20_mismatch_count,decoded_native_rank_20_native_only_count,decoded_native_rank_20_decoded_only_count,decoded_native_rank_20_agreement_rate,native_sdc_implementation,protocol_uid,run_tier,paper_eligible,official_result_eligible,gallery_payload_bytes_total,gallery_storage_bytes_total,gallery_storage_bytes_per_vector_amortized
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,origin,origin_512,origin_cosine,origin_float32,origin_float32,cosine_similarity,2048,2048,0,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.150258170891,10953.7709,2.93824326717,340.339416812,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.216738197425,808,3728,0.203807287318,0.230252271936,0.270386266094,1008,3728,0.256370321555,0.284874927235,0.293991416309,1096,3728,0.279584918825,0.308822033359,0.31974248927,1192,3728,0.304963730206,0.334892352955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,323319808,323319808,2048
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_384,pca_direct_cosine,pca_384_float32,pca_384_float32,cosine_similarity,1536,1536,788480,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.157287804701,12724.3999,3.41319739807,292.980417882,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.224517167382,837,3728,0.211410304266,0.23819117997,0.281920600858,1051,3728,0.267707697497,0.296582474542,0.30686695279,1144,3728,0.292267553234,0.321863964439,0.334763948498,1248,3728,0.319792460376,0.350075615855,0.010091425851,0.0123043777421,0.00702963381035,0.00403933462138,0.0100285942452,2000,42,0.00777896995708,0.00321888412017,0.0128755364807,0.0115343347639,0.006169527897,0.0166376072961,0.0128755364807,0.00751072961373,0.0182403433476,0.0150214592275,0.00965665236052,0.0209227467811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,242489856,243278336,1540.9944575
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_384,pca_reconstruction_cosine,pca_384_reconstruction_512,pca_384_reconstruction_512,cosine_similarity,1536,1536,788480,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.150257182225,11085.906,2.97368723176,336.282844181,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.216738197425,808,3728,0.203807287318,0.230252271936,0.270654506438,1009,3728,0.256633845183,0.285147332054,0.293991416309,1096,3728,0.279584918825,0.308822033359,0.319474248927,1191,3728,0.304699091488,0.334621063225,0.010091425851,0.0123043777421,-9.88665563326e-07,-6.30431038803e-06,5.03142146134e-06,2000,42,0,0,0,0.000268240343348,0,0.000804721030043,0,0,0,-0.000268240343348,-0.000804721030043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,242489856,243278336,1540.9944575
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_256,pca_direct_cosine,pca_256_float32,pca_256_float32,cosine_similarity,1024,1024,526336,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.156263404198,11162.1038,2.99412655579,333.987218431,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.222907725322,831,3728,0.20983671076,0.23654920279,0.279774678112,1043,3728,0.265597518991,0.294405225467,0.30606223176,1141,3728,0.291474486895,0.321049245435,0.332618025751,1240,3728,0.317673003327,0.347907645323,0.0910600796342,0.126970767975,0.00600523330774,0.00302499474127,0.00900078735716,2000,42,0.006169527897,0.00134120171674,0.0107296137339,0.00938841201717,0.00456008583691,0.0142167381974,0.0120708154506,0.00670600858369,0.0174356223176,0.0128755364807,0.00724248927039,0.018508583691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,161659904,162186240,1027.33396254
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_256,pca_reconstruction_cosine,pca_256_reconstruction_512,pca_256_reconstruction_512,cosine_similarity,1024,1024,526336,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.149517800899,11094.8577,2.97608843884,336.011520003,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.216201716738,806,3728,0.203283193644,0.229704508714,0.270386266094,1008,3728,0.256370321555,0.284874927235,0.292113733906,1089,3728,0.277736528872,0.306918924179,0.317864806867,1185,3728,0.30311137872,0.332993205308,0.0910600796342,0.126970767975,-0.00074036999179,-0.0014666275498,-0.000223303169439,2000,42,-0.000536480686695,-0.00160944206009,0.000536480686695,0,-0.00160944206009,0.00160944206009,-0.00187768240343,-0.00402360515021,0,-0.00187768240343,-0.00402360515021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,161659904,162186240,1027.33396254
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_128,pca_direct_cosine,pca_128_float32,pca_128_float32,cosine_similarity,512,512,264192,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.147957065954,10898.7826,2.92349318669,342.056552261,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.213787553648,797,3728,0.200925182213,0.227239164116,0.267435622318,997,3728,0.253471997094,0.28187803877,0.292381974249,1090,3728,0.278000566231,0.307190815267,0.315987124464,1178,3728,0.301259306973,0.331093777921,0.39508420229,0.539016783237,-0.00230110493674,-0.00556036563142,0.000681278908465,2000,42,-0.00295064377682,-0.00804721030043,0.00241416309013,-0.00295064377682,-0.00831545064378,0.00268240343348,-0.00160944206009,-0.00777896995708,0.00456008583691,-0.00375536480687,-0.00992489270386,0.00268240343348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,80829952,81094144,513.673467578
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_128,pca_reconstruction_cosine,pca_128_reconstruction_512,pca_128_reconstruction_512,cosine_similarity,512,512,264192,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.140185733937,11792.7071,3.1632798015,316.127583632,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.204667381974,763,3728,0.192023322171,0.217919456937,0.259120171674,966,3728,0.245308346416,0.27342790757,0.282188841202,1052,3728,0.267971498342,0.296854602145,0.305525751073,1139,3728,0.290945805438,0.320506069997,0.39508420229,0.539016783237,-0.0100724369538,-0.0127034662401,-0.00760120673633,2000,42,-0.0120708154506,-0.0168991416309,-0.00697424892704,-0.0112660944206,-0.0158328862661,-0.00670600858369,-0.0118025751073,-0.0168991416309,-0.00697424892704,-0.0142167381974,-0.019313304721,-0.00912017167382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,80829952,81094144,513.673467578
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_64,pca_direct_cosine,pca_64_float32,pca_64_float32,cosine_similarity,256,256,133120,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.126590693753,11226.5659,3.01141789163,332.069488854,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.184012875536,686,3728,0.171901567802,0.196774720835,0.234978540773,876,3728,0.221645526703,0.248857166992,0.260461373391,971,3728,0.246624624227,0.274791271998,0.290504291845,1083,3728,0.276152433609,0.305287448756,0.580348432064,0.78227519989,-0.0236674771379,-0.0280789910446,-0.0195737542897,2000,42,-0.0327253218884,-0.0402360515021,-0.0257510729614,-0.0354077253219,-0.0423819742489,-0.0284334763948,-0.0335300429185,-0.0405042918455,-0.0262875536481,-0.0292381974249,-0.0367489270386,-0.0217274678112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,40414976,40548096,256.843220097
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_64,pca_reconstruction_cosine,pca_64_reconstruction_512,pca_64_reconstruction_512,cosine_similarity,256,256,133120,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.121575485157,11823.6148,3.17157049356,315.301205516,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.17864806867,666,3728,0.166684453654,0.19127326603,0.230686695279,860,3728,0.217445038849,0.244482799684,0.25482832618,950,3728,0.241097412694,0.26906398613,0.278701716738,1039,3728,0.264542582479,0.293316448188,0.580348432064,0.78227519989,-0.0286826857338,-0.0330350462372,-0.024664187864,2000,42,-0.0380901287554,-0.0453326180258,-0.030847639485,-0.0396995708155,-0.0466738197425,-0.0332618025751,-0.0391630901288,-0.0464055793991,-0.0321888412017,-0.0410407725322,-0.0482832618026,-0.0337982832618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,40414976,40548096,256.843220097
tinyface,arcface-7972a704552df378345f,20260829-R001-96037afc,pca,pca_32,pca_direct_cosine,pca_32_float32,pca_32_float32,cosine_similarity,128,128,67584,tinyface_official_closed_set_v1,False,False,cosine,3728,157871,4443,0.0956778827028,10549.5079,2.82980362124,353.381412227,streaming_exact_all_gallery_stable_index_ties,pytorch_cuda,probe_level_wilson_95,0.13385193133,499,3728,0.123298002584,0.145159666337,0.185622317597,692,3728,0.173467480376,0.198424378947,0.209227467811,780,3728,0.196473015118,0.222580547601,0.239806866953,894,3728,0.226373387223,0.253776018531,0.732559502125,0.970825791359,-0.0545802881879,-0.0604550793627,-0.048785560443,2000,42,-0.0828862660944,-0.0925429184549,-0.0734978540773,-0.0847639484979,-0.094427306867,-0.0751072961373,-0.0847639484979,-0.0944206008584,-0.0751072961373,-0.0799356223176,-0.0895922746781,-0.0705472103004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tinyface_official_closed_set_v1-3a9c2a698890632b,full,True,True,20207488,20275072,128.428096357
