compression_profile,metric,value
pca_256,pca_exact_candidates_contain_origin_top1_rate,0.998730964467005
pca_256,candidate_contains_pca_exact_top1_rate,1.0
pca_256,candidate_contains_true_identity_rate_registered,0.9970414201183432
pca_256,mean_hnsw_recall_at_k_vs_pca_exact,1.0
pca_256,compressed_rank_inversion_rate,0.23942470389170897
pca_256,registered_compressed_rank_inversion_rate,0.0014792899408284023
pca_256,registered_identity_loss_rate,0.0
pca_256,registered_identity_gain_rate,0.0
pca_256,non_mated_top1_change_rate,0.3347156398104265
pca_256,candidate_miss_caused_by_compression_rate,0.0012690355329949238
pca_256,candidate_miss_caused_by_hnsw_rate,0.0
pca_256,hnsw_rank_inversion_rate,0.0
pca_256,threshold_crossing_rate,0.0
pca_256,final_matches_origin_exact_rate,1.0
pca_256,exact_fallback_rate,0.9991539763113367
pca_256,origin_exact_baseline_latency_ms_p50,3.2935000000406944
pca_256,origin_exact_baseline_latency_ms_p95,4.096080000022084
pca_256,origin_exact_baseline_latency_ms_mean,3.3969475465321315
pca_256,pca_exact_baseline_latency_ms_p50,2.0278499999903943
pca_256,pca_exact_baseline_latency_ms_p95,2.588315000059538
pca_256,pca_exact_baseline_latency_ms_mean,2.078615270728869
pca_256,pca_hnsw_latency_ms_p50,1.9804499999054315
pca_256,pca_hnsw_latency_ms_p95,2.6020199999607025
pca_256,pca_hnsw_latency_ms_mean,2.0380658206410223
pca_256,certificate_latency_ms_p50,4.617950000010751
pca_256,certificate_latency_ms_p95,5.848360000015873
pca_256,certificate_latency_ms_mean,4.785652834178573
pca_256,simulated_system_latency_ms_p50,9.981200000083845
pca_256,simulated_system_latency_ms_p95,11.882200000184184
pca_256,simulated_system_latency_ms_mean,10.217884221656385
pca_128,candidate_contains_origin_top1_rate,0.9458544839255499
pca_128,pca_exact_candidates_contain_origin_top1_rate,0.9458544839255499
pca_128,candidate_contains_pca_exact_top1_rate,1.0
pca_128,candidate_contains_true_identity_rate_registered,0.9970414201183432
pca_128,mean_hnsw_recall_at_k_vs_pca_exact,1.0
pca_128,compressed_rank_inversion_rate,0.4509306260575296
pca_128,registered_compressed_rank_inversion_rate,0.004437869822485207
pca_128,registered_identity_loss_rate,0.0014792899408284023
pca_128,registered_identity_gain_rate,0.0
pca_128,non_mated_top1_change_rate,0.629739336492891
pca_128,candidate_miss_caused_by_compression_rate,0.05414551607445008
pca_128,candidate_miss_caused_by_hnsw_rate,0.0
pca_128,hnsw_rank_inversion_rate,0.0
pca_128,threshold_crossing_rate,0.0008460236886632825
pca_128,final_matches_origin_exact_rate,1.0
pca_128,exact_fallback_rate,1.0
pca_128,origin_exact_baseline_latency_ms_p50,3.3133500000985805
pca_128,origin_exact_baseline_latency_ms_p95,4.118170000015198
pca_128,origin_exact_baseline_latency_ms_mean,3.4199178511002106
pca_128,pca_exact_baseline_latency_ms_p50,1.525549999996656
pca_128,pca_exact_baseline_latency_ms_p95,2.054660000089825
pca_128,pca_exact_baseline_latency_ms_mean,1.579432360404887
pca_128,pca_hnsw_latency_ms_p50,1.4865499999814347
pca_128,pca_hnsw_latency_ms_p95,2.0526900000618293
pca_128,pca_hnsw_latency_ms_mean,1.5380126903538285
pca_128,certificate_latency_ms_p50,4.6504000000595624
pca_128,certificate_latency_ms_p95,6.103175000043847
pca_128,certificate_latency_ms_mean,4.860988747889715
pca_128,simulated_system_latency_ms_p50,9.542600000145285
pca_128,simulated_system_latency_ms_p95,11.768990000132362
pca_128,simulated_system_latency_ms_mean,9.818919289343754
