compression_profile,dimension,mean_angular_error,mean_bound_width,certification_coverage,defer_rate,exact_fallback_rate,dir_rank1,fpir,candidate_recall,latency_p50_ms,latency_p95_ms,relation_storage_bytes,gallery_payload_bytes,vector_payload_bytes_per_template
origin_512,512,0.0,0.0,,0.0,0.0,0.9896449704142012,0.001184834123222749,1.0,3.2935000000406944,4.096080000022084,160014336,102400,2048
pca_448,448,0.011820160926694,0.021756582917068817,0.9995769881556683,0.00042301184433164127,0.00042301184433164127,0.9896449704142012,0.001184834123222749,1.0,2.884250000022348,3.8053250000018566,75284480,89600,1792
pca_384,384,0.08407732047883922,0.1539448716586565,0.9961928934010152,0.0038071065989847717,0.0038071065989847717,0.9896449704142012,0.001184834123222749,1.0,2.4384999999824686,3.0818650000583148,60866560,76800,1536
pca_256,256,0.4342238693180315,0.7792854119839914,0.0008460236886632825,0.9991539763113367,0.9991539763113367,0.9896449704142012,0.001184834123222749,0.998730964467005,1.9804499999054315,2.6020199999607025,92618752,51200,1024
pca_128,128,0.7744185968617672,1.331863470376769,0.0,1.0,1.0,0.9866863905325444,0.001184834123222749,0.9458544839255499,1.4865499999814347,2.0526900000618293,30253056,25600,512
