split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,718,0.009775756668073577,-0.16547667980194092,-0.16643597126007081,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.16547667980194092,-0.16582930743694313,[],False,global_safe,0.01
test,all,121736,1.0,1389,0.011409936255503713,-0.16547667980194092,-0.15974194929003735,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,366,0.01,-0.16427047550678253,-0.16453480452299063,[0.54886115],False,fiqa_s,0.01
fit,high,36847,0.5016814846079486,310,0.00841316796482753,-0.16135023534297943,-0.16832206338644015,[0.54886115],False,fiqa_s,0.01
safety,low,12634,0.49783276853968006,116,0.00918157353173975,-0.16427047550678253,-0.16668434396386136,[0.54886115],False,fiqa_s,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.16135023534297943,-0.16258383080363326,[0.54886115],False,fiqa_s,0.01
test,low,59869,0.4917937175527371,704,0.011759007165644991,-0.16427047550678253,-0.15726188838481905,[0.54886115],False,fiqa_s,0.01
test,high,61867,0.508206282447263,606,0.009795205844796095,-0.16135023534297943,-0.1620912891626359,[0.54886115],False,fiqa_s,0.01
fit,low,36880,0.5021307881874004,334,0.009056399132321041,-0.15208980441093445,-0.15681724935770036,[0.5589450499999999],False,fiqa_l,0.01
fit,high,36567,0.4978692118125996,362,0.009899636284081276,-0.1790257408810903,-0.17912099480628974,[0.5589450499999999],False,fiqa_l,0.01
safety,low,12160,0.4791551737725589,121,0.009950657894736842,-0.15208980441093445,-0.15266718506813062,[0.5589450499999999],False,fiqa_l,0.01
safety,high,13218,0.5208448262274411,126,0.009532455742169769,-0.1790257408810903,-0.18155656158924102,[0.5589450499999999],False,fiqa_l,0.01
test,low,58258,0.4785601629756194,657,0.011277421126712211,-0.15208980441093445,-0.14741319373250006,[0.5589450499999999],False,fiqa_l,0.01
test,high,63478,0.5214398370243807,659,0.010381549513217177,-0.1790257408810903,-0.17725167855620433,[0.5589450499999999],False,fiqa_l,0.01
fit,all,73447,1.0,3672,0.049995234659005815,-0.2566547989845276,-0.16643597126007081,[],False,global_safe,0.05
safety,all,25378,1.0,1211,0.047718496335408624,-0.2566547989845276,-0.16582930743694313,[],False,global_safe,0.05
test,all,121736,1.0,6269,0.05149668134323454,-0.2566547989845276,-0.15974194929003735,[],False,global_safe,0.05
fit,low,36600,0.4983185153920514,1830,0.05,-0.24614039063453674,-0.16453480452299063,[0.54886115],False,fiqa_s,0.05
fit,high,36847,0.5016814846079486,1826,0.049556273237984096,-0.2705238461494446,-0.16832206338644015,[0.54886115],False,fiqa_s,0.05
safety,low,12634,0.49783276853968006,575,0.04551211017888238,-0.24614039063453674,-0.16668434396386136,[0.54886115],False,fiqa_s,0.05
safety,high,12744,0.5021672314603199,637,0.049984306340238545,-0.2705238461494446,-0.16258383080363326,[0.54886115],False,fiqa_s,0.05
test,low,59869,0.4917937175527371,3084,0.05151246889041073,-0.24614039063453674,-0.15726188838481905,[0.54886115],False,fiqa_s,0.05
test,high,61867,0.508206282447263,3191,0.05157838589231739,-0.2705238461494446,-0.1620912891626359,[0.54886115],False,fiqa_s,0.05
fit,low,36880,0.5021307881874004,1844,0.05,-0.2415311634540558,-0.15681724935770036,[0.5589450499999999],False,fiqa_l,0.05
fit,high,36567,0.4978692118125996,1825,0.04990838734377991,-0.27911439973603724,-0.17912099480628974,[0.5589450499999999],False,fiqa_l,0.05
safety,low,12160,0.4791551737725589,603,0.04958881578947368,-0.2415311634540558,-0.15266718506813062,[0.5589450499999999],False,fiqa_l,0.05
safety,high,13218,0.5208448262274411,603,0.045619609623241034,-0.27911439973603724,-0.18155656158924102,[0.5589450499999999],False,fiqa_l,0.05
test,low,58258,0.4785601629756194,3275,0.05621545538810121,-0.2415311634540558,-0.14741319373250006,[0.5589450499999999],False,fiqa_l,0.05
test,high,63478,0.5214398370243807,2943,0.04636251929802451,-0.27911439973603724,-0.17725167855620433,[0.5589450499999999],False,fiqa_l,0.05
fit,all,73447,1.0,7344,0.09999046931801163,-0.31725454330444336,-0.16643597126007081,[],False,global_safe,0.1
safety,all,25378,1.0,2346,0.09244227283473876,-0.31725454330444336,-0.16582930743694313,[],False,global_safe,0.1
test,all,121736,1.0,11749,0.09651212459748965,-0.31725454330444336,-0.15974194929003735,[],False,global_safe,0.1
