sample_id,identity_id,protocol_role,aligned_face_index,prepared_row_index,raw_embedding_norm,heatmap_available,heatmap_index,gradcam_target_score,gradcam_valid_heatmap,raw_norm_bin,target_score_bin,faithfulness_stratum,selection_hash,faithfulness_selection_index,faithfulness_occlusion_fraction,high_saliency_occlusion_score_drop,low_saliency_occlusion_score_drop,random_occlusion_score_drop,random_occlusion_score_drop_std,faithfulness_gain_over_low_saliency,faithfulness_gain_over_random
survface:registered_probe:9145_cam1_93,survface:registered:4822,registered_probe,324621,324621,13.0268592834,True,43439,0.542178034782,True,q1,q1,registered_probe|norm=q1|score=q1,0015a4197dafd3fb12badd06a9daf811cdf6243b49fd83a6f5d8e8c68ff2a686,0,0.1,0.0263610482216,0.0238538980484,0.127733916044,0.0688209463016,0.00250715017319,-0.101372867823
survface:registered_probe:10302_cam2_20,survface:registered:0163,registered_probe,285544,285544,9.5474729538,True,4362,0.632623374462,True,q1,q2,registered_probe|norm=q1|score=q2,00438f1eb5056b2cd97504300c5109c57c1a08849410abc0cadabb87a64602cd,1,0.1,0.252414524555,0.0443624854088,0.280828297138,0.00782833276322,0.208052039146,-0.028413772583
survface:registered_probe:9707_cam3_52,survface:registered:5152,registered_probe,336555,336555,13.2166318893,True,55373,0.662475347519,True,q1,q3,registered_probe|norm=q1|score=q3,00047dc9b0a03164e8869b34deb67a189bb30512e53ebfb1a5ac00ab31f7ee9e,2,0.1,0.076628446579,0.00318759679794,0.292358458042,0.025155446019,0.073440849781,-0.215730011463
survface:registered_probe:10469_cam2_10,survface:registered:0252,registered_probe,288032,288032,8.73707771301,True,6850,0.727065682411,True,q1,q4,registered_probe|norm=q1|score=q4,001874313e49020092743b807059240200519c228caa20aa55b8c38e027cc00c,3,0.1,0.29881054163,0.332065701485,0.287225842476,0.0167823007347,-0.0332551598549,0.0115846991539
survface:registered_probe:9670_cam2_17,survface:registered:5126,registered_probe,335401,335401,15.1740665436,True,54219,0.536079227924,True,q2,q1,registered_probe|norm=q2|score=q1,0015639b348e99a33278381c7b1d6860fd72a0081f9091232277d9df9bb1e397,4,0.1,-0.0344826579094,-0.00188237428665,0.0463105142117,0.0209164480875,-0.0326002836227,-0.080793172121
survface:registered_probe:9820_cam1_23,survface:registered:5221,registered_probe,339236,339236,16.8251953125,True,58054,0.560339570045,True,q2,q2,registered_probe|norm=q2|score=q2,0007ecc7033369d82e5154a7d9c1aadc16f06880e7c2d211a83eb66963afda12,5,0.1,0.0963377356529,-0.000243782997131,0.134276092052,0.0186448705492,0.0965815186501,-0.0379383563995
survface:registered_probe:9674_cam1_44,survface:registered:5130,registered_probe,335580,335580,17.1600379944,True,54398,0.653949141502,True,q2,q3,registered_probe|norm=q2|score=q3,00092becb9135bc0de5c8f22e775933001727efa7c54bb80af2803f5cbd75d3d,6,0.1,0.0477939248085,0.0390633940697,0.430330008268,0.0786752846062,0.00873053073883,-0.38253608346
survface:registered_probe:8567_cam2_32,survface:registered:4532,registered_probe,313579,313579,14.2823314667,True,32397,0.822245240211,True,q2,q4,registered_probe|norm=q2|score=q4,0008a9e17455b7f02f56145c83cddd8514804a1f110c254f43d94c48b453c585,7,0.1,0.211422383785,0.0293217897415,0.266006112099,0.027790921064,0.182100594044,-0.0545837283134
survface:registered_probe:8874_cam2_137,survface:registered:4683,registered_probe,320322,320322,19.4570579529,True,39140,0.357706397772,True,q3,q1,registered_probe|norm=q3|score=q1,00063723bea74cd6632741efd3a4b2899c61d9fbfa6eb47d79403cd0984f48a4,8,0.1,0.0391555726528,0.0184174478054,-0.0911681354046,0.0178774156382,0.0207381248474,0.130323708057
survface:registered_probe:9318_cam1_71,survface:registered:4919,registered_probe,327310,327310,19.1687374115,True,46128,0.576190412045,True,q3,q2,registered_probe|norm=q3|score=q2,000a7e3ad723905958e22ac10adb85a174fdcbf3534cf300f8e946c7bd69c971,9,0.1,0.225607275963,0.0375693440437,0.200174212456,0.0169215485763,0.188037931919,0.0254330635071
