case_id,model_uid,sample_id,is_mated,compression_family,compression_profile,search_mode,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,threshold_policy,extraction_uid,dataset_id,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-ae2d773f16147d4eb3f3,arcface-7972a704552df378345f,survface:registered_probe:5293_20,True,pca,pca_128,pca_direct_cosine,0.1145217418670654,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.6570018758377015,True,threshold_crossing,1,42,8
gradcam-8f33e0f43f2616d7463e,arcface-7972a704552df378345f,survface:unknown_unknown_probe:1346_cam1_1,False,pca,pca_128,pca_direct_cosine,0.0341147184371948,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.6358182135688648,True,threshold_crossing,2,42,8
gradcam-53dc60fea81ce0c341e8,arcface-7972a704552df378345f,survface:registered_probe:5244_20,True,pca,pca_128,pca_direct_cosine,0.1053641438484191,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.6004313754118717,True,threshold_crossing,3,42,8
gradcam-421e024d942a42b12136,arcface-7972a704552df378345f,survface:registered_probe:262_cam1_1,True,pca,pca_128,pca_direct_cosine,0.1406076550483703,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.5693017523872037,True,threshold_crossing,4,42,8
gradcam-6b00f44cc9c9ffce6364,arcface-7972a704552df378345f,survface:registered_probe:5293_16,True,pca,pca_128,pca_direct_cosine,0.1036140322685241,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.5009813541607846,True,threshold_crossing,5,42,8
gradcam-a686c93575da1a7b5a5c,arcface-7972a704552df378345f,survface:registered_probe:5263_3,True,pca,pca_128,pca_direct_cosine,0.0357885360717773,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4752329595300513,True,threshold_crossing,6,42,8
gradcam-9cffcfc98ba4bda02985,arcface-7972a704552df378345f,survface:registered_probe:5255_28,True,pca,pca_128,pca_direct_cosine,0.0565803050994873,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4751638837520705,True,threshold_crossing,7,42,8
gradcam-3fb643711d3ae6019caa,arcface-7972a704552df378345f,survface:registered_probe:5241_19,True,pca,pca_128,pca_direct_cosine,0.0357322692871093,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4730064676857723,True,threshold_crossing,8,42,8
gradcam-e477e627b4191f3760fc,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_2185,False,pca,pca_128,pca_reconstruction_cosine,0.0034291744232177,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7646228279918378,True,high_error,1,42,8
gradcam-b9eb3d5481c4293dd568,arcface-7972a704552df378345f,survface:unknown_unknown_probe:2197_cam2_1,False,pca,pca_128,pca_reconstruction_cosine,0.1013325154781341,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7489665824551831,True,high_error,2,42,8
gradcam-39cc7b8cf61823dcbf75,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3188,False,pca,pca_128,pca_reconstruction_cosine,0.0365329384803772,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7426277335069857,True,high_error,3,42,8
gradcam-b03f51a5ed467363a84e,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12179,False,pca,pca_128,pca_reconstruction_cosine,0.0409905612468719,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7361808704495505,True,high_error,4,42,8
gradcam-5ac07b69a7f892f5aa18,arcface-7972a704552df378345f,survface:unknown_unknown_probe:2863_cam3_1,False,pca,pca_128,pca_reconstruction_cosine,0.1044861972332,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7206511283971274,True,high_error,5,42,8
gradcam-5bfeff777f9f25bf62e3,arcface-7972a704552df378345f,survface:registered_probe:9101_cam1_88,True,pca,pca_128,pca_reconstruction_cosine,0.0884898602962493,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7084533289425032,True,high_error,6,42,8
gradcam-b2d2675332b3cb44954d,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3189,False,pca,pca_128,pca_reconstruction_cosine,-0.0007499456405639,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7061333152846851,True,high_error,7,42,8
gradcam-41e7e49226f6a51bb515,arcface-7972a704552df378345f,survface:registered_probe:4072_cam2_1,True,pca,pca_128,pca_reconstruction_cosine,-0.0024916529655456,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7027349429892875,True,high_error,8,42,8
gradcam-869f207ee4cc65eda207,arcface-7972a704552df378345f,survface:registered_probe:2973_cam3_1,True,pca,pca_128,pca_reconstruction_cosine,-0.0067220032215118,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7984039529299121,True,rank_flip,1,42,8
gradcam-451b49611fb92d2c268f,arcface-7972a704552df378345f,survface:registered_probe:2742_cam2_1,True,pca,pca_128,pca_reconstruction_cosine,-0.0261293053627014,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.735114128831636,True,rank_flip,2,42,8
gradcam-41ea05b32613d74c6bde,arcface-7972a704552df378345f,survface:registered_probe:9197_cam1_91,True,pca,pca_128,pca_reconstruction_cosine,0.0298560559749603,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7318101096829703,True,rank_flip,3,42,8
gradcam-79437607758cd6e18b17,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12176,False,pca,pca_128,pca_reconstruction_cosine,0.04146608710289,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7194669075261497,True,rank_flip,4,42,8
gradcam-f4c4c80d53d976003b23,arcface-7972a704552df378345f,survface:registered_probe:1540_cam1_1,True,pca,pca_128,pca_reconstruction_cosine,0.0523111820220947,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7179272129487657,True,rank_flip,5,42,8
gradcam-380e095ea57fff10e37b,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12175,False,pca,pca_128,pca_reconstruction_cosine,0.0413828194141387,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7163693134203551,True,rank_flip,6,42,8
gradcam-ec069ffa502136a52f34,arcface-7972a704552df378345f,survface:unknown_unknown_probe:4273_cam2_1,False,pca,pca_128,pca_reconstruction_cosine,0.091653823852539,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7087616536529395,True,rank_flip,7,42,8
gradcam-44a69af28853ef302422,arcface-7972a704552df378345f,survface:registered_probe:9711_cam2_56,True,pca,pca_128,pca_reconstruction_cosine,0.0881742984056472,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7071168664712802,True,rank_flip,8,42,8
gradcam-9df9c47a031660f979ce,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10524_cam1_50,False,pca,pca_128,pca_reconstruction_cosine,0.0139971375465393,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1585231851806261,True,stable,1,42,8
gradcam-5f53f8d813eb7a88958c,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5726_cam1_44,False,pca,pca_128,pca_reconstruction_cosine,0.0106076598167419,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1588360583158084,True,stable,2,42,8
gradcam-58174764439536c74087,arcface-7972a704552df378345f,survface:registered_probe:8939_cam1_23,True,pca,pca_128,pca_reconstruction_cosine,0.0106723308563232,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1603247996577746,True,stable,3,42,8
gradcam-0060b746c284975c0ac9,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_28411,False,pca,pca_128,pca_reconstruction_cosine,0.0185593366622924,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1603584485416258,True,stable,4,42,8
gradcam-3e97043dace20742217c,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5828_cam2_59,False,pca,pca_128,pca_reconstruction_cosine,0.010651409626007,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1614776706575139,True,stable,5,42,8
gradcam-0ffff6a3bc9e54a137c8,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5795_cam1_92,False,pca,pca_128,pca_reconstruction_cosine,0.0127932429313659,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1621407918527696,True,stable,6,42,8
gradcam-97a10dcadf47befda88e,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5849_cam2_34,False,pca,pca_128,pca_reconstruction_cosine,0.0125423669815063,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1623606900525288,True,stable,7,42,8
gradcam-1ed9461c158607799aed,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5641_cam2_22,False,pca,pca_128,pca_reconstruction_cosine,0.0127093195915222,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.162649182656338,True,stable,8,42,8
gradcam-c88ceddc162a9ba151b0,arcface-7972a704552df378345f,survface:registered_probe:5263_3,True,pca,pca_128,pca_reconstruction_cosine,0.0394501090049743,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4752329595300513,True,threshold_crossing,1,42,8
gradcam-4216947ece8982a7fefe,arcface-7972a704552df378345f,survface:registered_probe:5255_28,True,pca,pca_128,pca_reconstruction_cosine,0.0336077213287353,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4751638837520705,True,threshold_crossing,2,42,8
gradcam-27fc54b28bfb0bfc6827,arcface-7972a704552df378345f,survface:registered_probe:5241_19,True,pca,pca_128,pca_reconstruction_cosine,0.0273312330245971,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4730064676857723,True,threshold_crossing,3,42,8
gradcam-f55b8ca67d40f031c5d2,arcface-7972a704552df378345f,survface:registered_probe:5578_cam2_145,True,pca,pca_128,pca_reconstruction_cosine,0.0486266016960144,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4656727737799904,True,threshold_crossing,4,42,8
gradcam-6d5bc496510e67c0d764,arcface-7972a704552df378345f,survface:registered_probe:5293_13,True,pca,pca_128,pca_reconstruction_cosine,0.0340875387191772,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.427266980800264,True,threshold_crossing,5,42,8
gradcam-160fce107bcc46192d3b,arcface-7972a704552df378345f,survface:registered_probe:5578_cam2_18,True,pca,pca_128,pca_reconstruction_cosine,0.0436225533485412,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4236353038883328,True,threshold_crossing,6,42,8
gradcam-7434e8e28d2b453fc9b5,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_27916,False,pca,pca_128,pca_reconstruction_cosine,0.0786373019218444,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4236318197198475,True,threshold_crossing,7,42,8
gradcam-1dc209522dc200cf96a8,arcface-7972a704552df378345f,survface:registered_probe:5578_cam2_161,True,pca,pca_128,pca_reconstruction_cosine,0.042715311050415,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.4231017934167548,True,threshold_crossing,8,42,8
gradcam-64a86393e5fb0ad829ed,arcface-7972a704552df378345f,survface:registered_probe:4608_cam2_1,True,pca,pca_256,pca_direct_cosine,0.0400481522083282,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1850305043124401,True,high_error,1,42,8
gradcam-dff54910f892113f5704,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12176,False,pca,pca_256,pca_direct_cosine,0.13636115193367,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1843553000297082,True,high_error,2,42,8
gradcam-c51f73e17ae63a9b8935,arcface-7972a704552df378345f,survface:registered_probe:5293_20,True,pca,pca_256,pca_direct_cosine,0.0627915263175964,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1823352825126662,True,high_error,3,42,8
gradcam-0f3dd992fe06f6f8945b,arcface-7972a704552df378345f,survface:unknown_unknown_probe:8381_cam1_71,False,pca,pca_256,pca_direct_cosine,-0.0342052578926086,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1807452223963495,True,high_error,4,42,8
gradcam-29a8abc2b1ddd47fde4c,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3389,False,pca,pca_256,pca_direct_cosine,0.166863352060318,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1772013359463997,True,high_error,5,42,8
gradcam-2f19f5c8dd81dbdca227,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3189,False,pca,pca_256,pca_direct_cosine,0.1276760399341583,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1760562606921837,True,high_error,6,42,8
gradcam-3dd3cd5631593c05a965,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_1119,False,pca,pca_256,pca_direct_cosine,0.0833155810832977,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1723843127240167,True,high_error,7,42,8
gradcam-ecf5121ba2212c7be28c,arcface-7972a704552df378345f,survface:unknown_unknown_probe:9217_cam3_15,False,pca,pca_256,pca_direct_cosine,0.1176820397377014,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1712709618225998,True,high_error,8,42,8
gradcam-b5a44ce62b132ac28e92,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_5088,False,pca,pca_256,pca_direct_cosine,-0.0309913456439971,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1898673851823898,True,rank_flip,1,42,8
gradcam-c446d072c73f9470d42b,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_8542,False,pca,pca_256,pca_direct_cosine,0.1097829043865203,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1883076162481014,True,rank_flip,2,42,8
gradcam-e813e941e585a2eca0e3,arcface-7972a704552df378345f,survface:unknown_unknown_probe:9458_cam3_2,False,pca,pca_256,pca_direct_cosine,0.0500102639198303,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1835150755008564,True,rank_flip,3,42,8
gradcam-e8a96488bc3f50269c46,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5205_31,False,pca,pca_256,pca_direct_cosine,0.0554730892181396,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1814554241937053,True,rank_flip,4,42,8
gradcam-fcf98c1bad26ce954f17,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_1459,False,pca,pca_256,pca_direct_cosine,0.1173814535140991,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1807708879673046,True,rank_flip,5,42,8
gradcam-0c7bc5a430f06d751efc,arcface-7972a704552df378345f,survface:registered_probe:1707_cam2_1,True,pca,pca_256,pca_direct_cosine,0.048816978931427,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1787537680496229,True,rank_flip,6,42,8
gradcam-fbbe6f301a269a926529,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_1659,False,pca,pca_256,pca_direct_cosine,0.1437518894672393,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1747350302192595,True,rank_flip,7,42,8
gradcam-33bd0af9d47c0ec7f095,arcface-7972a704552df378345f,survface:registered_probe:621_cam2_1,True,pca,pca_256,pca_direct_cosine,0.0936789512634277,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1744181275697568,True,rank_flip,8,42,8
gradcam-22a9523afbe2e02a0069,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5737_cam2_163,False,pca,pca_256,pca_direct_cosine,-0.2443996667861938,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0301154218189552,True,stable,1,42,8
gradcam-f97d3031768e63c5b50e,arcface-7972a704552df378345f,survface:registered_probe:5648_cam2_182,True,pca,pca_256,pca_direct_cosine,-0.0987412333488464,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.031172681856219,True,stable,2,42,8
gradcam-e751ca94fe7fcd5f7ce6,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10430_cam2_13,False,pca,pca_256,pca_direct_cosine,-0.1696494817733764,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0313905211974187,True,stable,3,42,8
gradcam-86050b9c3a3931c68eb4,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5644_cam1_57,False,pca,pca_256,pca_direct_cosine,-0.1369276046752929,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0315946869966641,True,stable,4,42,8
gradcam-a10aee561718239a0eff,arcface-7972a704552df378345f,survface:registered_probe:5648_cam2_39,True,pca,pca_256,pca_direct_cosine,-0.2523821592330932,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0319167893821869,True,stable,5,42,8
gradcam-c893f9c0bd3ef79baff2,arcface-7972a704552df378345f,survface:unknown_unknown_probe:8613_cam1_38,False,pca,pca_256,pca_direct_cosine,-0.2456719279289245,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0321523905259411,True,stable,6,42,8
gradcam-4bb40d383071b2442076,arcface-7972a704552df378345f,survface:registered_probe:7237_cam2_2,True,pca,pca_256,pca_direct_cosine,-0.2286146879196167,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0322280991408543,True,stable,7,42,8
gradcam-2154778c89db05054317,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10566_cam2_18,False,pca,pca_256,pca_direct_cosine,-0.2341222763061523,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0323498179011569,True,stable,8,42,8
gradcam-c14b625f0abdab6ea7dd,arcface-7972a704552df378345f,survface:unknown_unknown_probe:1346_cam1_1,False,pca,pca_256,pca_direct_cosine,0.0398541688919067,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1247656479632724,True,threshold_crossing,1,42,8
gradcam-51d0f22ff06592e303cc,arcface-7972a704552df378345f,survface:registered_probe:5241_19,True,pca,pca_256,pca_direct_cosine,0.0136623382568359,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1071029720715417,True,threshold_crossing,2,42,8
gradcam-e6200453aae0c5e95e10,arcface-7972a704552df378345f,survface:registered_probe:5293_13,True,pca,pca_256,pca_direct_cosine,0.0344012379646301,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1045736468071973,True,threshold_crossing,3,42,8
gradcam-cbbd6390fb05989eff97,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10293_cam1_27,False,pca,pca_256,pca_direct_cosine,-0.2758342027664184,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1041031421374993,True,threshold_crossing,4,42,8
gradcam-9ce12d5161826fbc3c1f,arcface-7972a704552df378345f,survface:registered_probe:4836_cam1_1,True,pca,pca_256,pca_direct_cosine,-0.1487101316452026,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1014858550374193,True,threshold_crossing,5,42,8
gradcam-2370592800f33d94f09e,arcface-7972a704552df378345f,survface:registered_probe:5255_28,True,pca,pca_256,pca_direct_cosine,0.0294125080108642,True,True,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.0991348851875312,True,threshold_crossing,6,42,8
