case_id,model_uid,sample_id,is_mated,compression_family,compression_profile,search_mode,top1_score_drift,agreement_with_origin,threshold_crossing,origin_fallback_used,threshold_policy,extraction_uid,dataset_id,saliency_target_eligible,heatmap_available,angular_error_rad,retrieval_metrics_available,case_group,case_priority_rank,selection_seed,cases_per_group
gradcam-c79c9653d12f3eb5f095,arcface-7972a704552df378345f,survface:registered_probe:2973_cam3_1,True,pca,pca_128,pca_direct_cosine,0.2863254845142364,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7984039529299121,True,high_error,1,42,8
gradcam-8c447e3d6c3d88158c15,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_2185,False,pca,pca_128,pca_direct_cosine,0.2209479808807373,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7646228279918378,True,high_error,2,42,8
gradcam-3edcafc8d16c7b199c12,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3188,False,pca,pca_128,pca_direct_cosine,0.1899363994598388,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7426277335069857,True,high_error,3,42,8
gradcam-8b3f3892471c9256e9b7,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12179,False,pca,pca_128,pca_direct_cosine,0.2532030642032623,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7361808704495505,True,high_error,4,42,8
gradcam-8a155ddc52cedf9bc831,arcface-7972a704552df378345f,survface:registered_probe:2742_cam2_1,True,pca,pca_128,pca_direct_cosine,0.1493742167949676,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.735114128831636,True,high_error,5,42,8
gradcam-02288a788bbe45c45af5,arcface-7972a704552df378345f,survface:unknown_unknown_probe:2863_cam3_1,False,pca,pca_128,pca_direct_cosine,0.2722595930099487,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7206511283971274,True,high_error,6,42,8
gradcam-614be2d4e87e3bd7e050,arcface-7972a704552df378345f,survface:registered_probe:9101_cam1_88,True,pca,pca_128,pca_direct_cosine,0.1771539151668548,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7084533289425032,True,high_error,7,42,8
gradcam-c5ef3f533affe3f130bf,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_3189,False,pca,pca_128,pca_direct_cosine,0.1745857894420623,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7061333152846851,True,high_error,8,42,8
gradcam-c05573a79b7ed94819c4,arcface-7972a704552df378345f,survface:unknown_unknown_probe:2197_cam2_1,False,pca,pca_128,pca_direct_cosine,0.1275005936622619,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7489665824551831,True,rank_flip,1,42,8
gradcam-daa59906223f3d495e47,arcface-7972a704552df378345f,survface:registered_probe:9197_cam1_91,True,pca,pca_128,pca_direct_cosine,0.1361288726329803,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7318101096829703,True,rank_flip,2,42,8
gradcam-f11d4d5e8b0bee3e9c31,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12176,False,pca,pca_128,pca_direct_cosine,0.2400367259979248,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7194669075261497,True,rank_flip,3,42,8
gradcam-cff9b2b4701414c73ac3,arcface-7972a704552df378345f,survface:registered_probe:1540_cam1_1,True,pca,pca_128,pca_direct_cosine,0.1898913085460662,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7179272129487657,True,rank_flip,4,42,8
gradcam-05c9c5d94ddfb2e744f4,arcface-7972a704552df378345f,survface:unknown_unknown_probe:distractors_12175,False,pca,pca_128,pca_direct_cosine,0.2493731081485748,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7163693134203551,True,rank_flip,5,42,8
gradcam-7e6934e67d28b094eebe,arcface-7972a704552df378345f,survface:unknown_unknown_probe:4273_cam2_1,False,pca,pca_128,pca_direct_cosine,0.2424215078353881,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7087616536529395,True,rank_flip,6,42,8
gradcam-2b2d6388975177efde8f,arcface-7972a704552df378345f,survface:registered_probe:9711_cam2_56,True,pca,pca_128,pca_direct_cosine,0.2627875953912735,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7071168664712802,True,rank_flip,7,42,8
gradcam-5a07a5b6bea2efdaa960,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10206_cam2_60,False,pca,pca_128,pca_direct_cosine,0.1580942869186401,False,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.7011911862680962,True,rank_flip,8,42,8
gradcam-3410bcbb4a4ea7d7fb11,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5726_cam1_44,False,pca,pca_128,pca_direct_cosine,-0.0720636248588562,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1588360583158084,True,stable,1,42,8
gradcam-19b4442fba24506b5b77,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5828_cam2_59,False,pca,pca_128,pca_direct_cosine,-0.0530832409858703,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1614776706575139,True,stable,2,42,8
gradcam-b0c4bf452f70f02e2398,arcface-7972a704552df378345f,survface:unknown_unknown_probe:9726_cam2_18,False,pca,pca_128,pca_direct_cosine,-0.0591611862182617,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1700580005599684,True,stable,3,42,8
gradcam-f1b66e4c93c847a5b562,arcface-7972a704552df378345f,survface:registered_probe:5721_cam1_229,True,pca,pca_128,pca_direct_cosine,-0.1238235831260681,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1730486473296527,True,stable,4,42,8
gradcam-2a8ddef48cccde422d96,arcface-7972a704552df378345f,survface:unknown_unknown_probe:10290_cam1_5,False,pca,pca_128,pca_direct_cosine,-0.0878640413284301,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.173892123454908,True,stable,5,42,8
gradcam-ada82ed1fb3ba516337e,arcface-7972a704552df378345f,survface:unknown_unknown_probe:5755_cam1_52,False,pca,pca_128,pca_direct_cosine,-0.0815762281417846,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1740847226057089,True,stable,6,42,8
gradcam-2e952dcd258bcad452a6,arcface-7972a704552df378345f,survface:registered_probe:5669_cam1_69,True,pca,pca_128,pca_direct_cosine,-0.0924243330955505,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1744871446808956,True,stable,7,42,8
gradcam-64164e0c61fa228d58ce,arcface-7972a704552df378345f,survface:registered_probe:5701_cam2_67,True,pca,pca_128,pca_direct_cosine,-0.1956031918525695,True,False,False,frozen_origin,population-8cf1a0037c25d80a20f282c3,survface,True,True,0.1759476027568121,True,stable,8,42,8
