group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
all,high_saliency_occlusion_score_drop,10000,2192,0.10712588422670959,0.09774430096149439,0.8719,0.10443231207129557,0.1097155873391273,0.95,identity_cluster,2000
all,low_saliency_occlusion_score_drop,10000,2192,0.02055023627877234,0.01456314325332635,0.6623,0.01936845833862621,0.0218070941310006,0.95,identity_cluster,2000
all,random_occlusion_score_drop,10000,2192,0.1821437330880377,0.18009424209594727,0.9455,0.1789928971719782,0.18530486070711957,0.95,identity_cluster,2000
all,faithfulness_gain_over_low_saliency,10000,2192,0.08657564794719216,0.0838150084018707,0.7949,0.0839770123010994,0.08924115990155507,0.95,identity_cluster,2000
all,faithfulness_gain_over_random,10000,2192,-0.07501784884780643,-0.0775564312934875,0.247,-0.07797153681619895,-0.07215043421200112,0.95,identity_cluster,2000
