reference_method,candidate_method,target_fpir,score_space,rank_k,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,confidence_interval_method,resamples,random_seed
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1802,1647,1581,121736,-0.0012732470263521062,-0.0015525399224551489,-0.0010021686271932707,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,174,155,150,60423,-0.00031444979560763285,-0.0004964996772752097,-0.00013239991394005594,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,fpir,1677,1647,1544,121736,-0.0002464349083262141,-0.0004928698166524282,0.0,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,20,tpir_at_rank_k,162,155,146,60423,-0.00011584992469754894,-0.0002813498171226189,4.964996772752098e-05,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,6470,6380,5781,121736,-0.0007393047249786423,-0.0013061050141289347,-0.00014786094499572846,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,735,725,662,60423,-0.00016549989242506993,-0.0005461496450027307,0.00023169984939509788,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,fpir,6317,6380,5717,121736,0.0005175133074850496,-5.7501478609449955e-05,0.0011089570874679635,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,20,tpir_at_rank_k,723,725,662,60423,3.3099978485013984e-05,-0.00031444979560763285,0.00039719974182016784,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11654,11542,10323,121736,-0.0009200236577511993,-0.0017332588552277058,-9.015410396267445e-05,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,1260,1247,1124,60423,-0.0002151498601525909,-0.0007281995266703076,0.00029789980636512584,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,fpir,11572,11542,10294,121736,-0.0002464349083262141,-0.0010432411119143065,0.0005750147860944996,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,20,tpir_at_rank_k,1253,1247,1124,60423,-9.929993545504196e-05,-0.0006123496019727587,0.0004137497310626748,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,22069,21725,19457,121736,-0.0028257869488072553,-0.003926529539331011,-0.0016591230203062376,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,2196,2157,1977,60423,-0.0006454495804577728,-0.0013078628998891143,-1.6549989242506992e-05,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,fpir,21617,21725,19254,121736,0.0008871656699743708,-0.00018893342971676414,0.0020618387329959915,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,20,tpir_at_rank_k,2164,2157,1965,60423,-0.00011584992469754894,-0.0007447495159128147,0.0005295996557602237,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,33045,32347,29092,121736,-0.0057337188670565815,-0.007105539856739174,-0.0043368436616941595,paired_nonparametric_bootstrap_percentile,2000,42
global_empirical,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,3108,3034,2783,60423,-0.0012246992039455175,-0.002002962448074408,-0.0004799496880327028,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,fpir,32306,32347,28768,121736,0.0003367943747124926,-0.0010432411119143065,0.0017332588552277058,paired_nonparametric_bootstrap_percentile,2000,42
global_safe,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,20,tpir_at_rank_k,3045,3034,2758,60423,-0.0001820498816675769,-0.0009764493653079125,0.0005792496234877447,paired_nonparametric_bootstrap_percentile,2000,42
