schema_version,model_uid,method,target_fpir,score_space,test_probe_count,test_non_mated_count,test_mated_count,false_accept_count,true_identification_at_rank_k_count,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir_at_rank_k,tpir_at_rank_k_wilson95_low,tpir_at_rank_k_wilson95_high,target_met_on_test,target_met_by_wilson_upper,threshold_fit_on_test,rank_k,condition_uid,fiqa_uid
1,conditional-threshold-0babff951a1184efdd488d2a,global_empirical,0.01,negative_squared_l2_adc,182159,121736,60423,1802,174,0.014802523493461261,0.01413929939231479,0.015496368073549874,0.0028796981281962166,0.002482885510031249,0.0033397166701681713,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-02956110dae4e7e0be88c59e,global_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1677,162,0.013775711375435368,0.013136122647984017,0.014445985383235216,0.0026810982572861328,0.002299209900605603,0.003126217788579665,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-69d4092cfdfd4cac57285145,fiqa_2bin_conservative_shrunk_safe,0.01,negative_squared_l2_adc,182159,121736,60423,1647,155,0.013529276467109155,0.012895495545119741,0.014193758221784591,0.002565248332588584,0.0021923224033628392,0.0030014201660641736,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-a65ecffa99e9cf1baa41eef3,global_empirical,0.05,negative_squared_l2_adc,182159,121736,60423,6470,735,0.053147795229020176,0.05190168632689956,0.05442210466636401,0.01216424209324264,0.011320691473542545,0.013069818161568504,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-d2a1543557a8a21a6b587856,global_safe,0.05,negative_squared_l2_adc,182159,121736,60423,6317,723,0.051890977196556484,0.050659069175406204,0.05315116506985136,0.011965642222332555,0.011129176319958132,0.012864158824138763,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-7289cf960e4803b4e19b2a4d,fiqa_2bin_conservative_shrunk_safe,0.05,negative_squared_l2_adc,182159,121736,60423,6380,725,0.05240849050404153,0.051170710839485746,0.05367451736083311,0.011998742200817569,0.011161091313465831,0.012898439579133423,False,False,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-7d0031d7893704efe5394fd2,global_empirical,0.1,negative_squared_l2_adc,182159,121736,60423,11654,1260,0.09573174738778997,0.09409170015971659,0.09739730770716225,0.02085298644555881,0.019743731481338563,0.022023162135641653,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-1ce86faffa7959c01a6bf01d,global_safe,0.1,negative_squared_l2_adc,182159,121736,60423,11572,1253,0.09505815863836499,0.09342334388946794,0.09671852898828348,0.02073713652086126,0.019630989555343682,0.02190421894187828,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-e374004b139ff5edcd0fb4be,fiqa_2bin_conservative_shrunk_safe,0.1,negative_squared_l2_adc,182159,121736,60423,11542,1247,0.09481172373003877,0.09317882959938308,0.09647018901405342,0.02063783658540622,0.019534360965594945,0.021802260286119944,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-2bac87a797ac836288358c05,global_empirical,0.2,negative_squared_l2_adc,182159,121736,60423,22069,2196,0.1812857330617073,0.17913165468934616,0.18345992527218985,0.03634377637654536,0.034880822017445724,0.037865681898638405,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-4450e164cffee09e2d79bc40,global_safe,0.2,negative_squared_l2_adc,182159,121736,60423,21617,2164,0.17757278044292568,0.17543624373921718,0.17972966530664097,0.03581417672078513,0.034361757912585104,0.03732561402746127,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-9a0ecae019f3c8cf1f0101ab,fiqa_2bin_conservative_shrunk_safe,0.2,negative_squared_l2_adc,182159,121736,60423,21725,2157,0.17845994611290006,0.17631918681408149,0.1806209975833103,0.03569832679608758,0.034248224181991395,0.037207462638296725,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-b8eef55605f5f47664284dac,global_empirical,0.3,negative_squared_l2_adc,182159,121736,60423,33045,3108,0.27144805152132484,0.2689571786891865,0.27395334810969524,0.05143736656571173,0.04970446460368328,0.05322730062947643,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-7773b04d41eebc57128947ff,global_safe,0.3,negative_squared_l2_adc,182159,121736,60423,32306,3045,0.26537753827955574,0.2629046780973721,0.26786520532388586,0.05039471724343379,0.04867886167155014,0.05216773748378528,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
1,conditional-threshold-7ef3de4ca7876a5e6953d522,fiqa_2bin_conservative_shrunk_safe,0.3,negative_squared_l2_adc,182159,121736,60423,32347,3034,0.26571433265426825,0.26324045749120123,0.26820299342462045,0.05021266736176622,0.04849980919071174,0.0519827133478607,True,True,False,20,compressed-scores-343aa7daf6fbb509924fd1b6,fiqa-scores-6bb2b1d23198168771c86601
