reference_method,candidate_method,target_fpir,metric,reference_successes,candidate_successes,both_successes,total,candidate_minus_reference,paired_bootstrap95_low,paired_bootstrap95_high,resampling_unit,resamples,random_seed,threshold_uncertainty_included,multiple_comparison_adjustment
global_empirical,fiqa_s,0.01,fpir,1802,1690,1558,121736,-0.0009200236577511993,-0.0012321745416310704,-0.0006243017677597423,query,2000,42,False,none
global_empirical,fiqa_s,0.01,tpir_at_rank_k,79,68,62,60423,-0.0001820498816675769,-0.00034066113151214565,-3.437188631554903e-05,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_s,0.01,fpir,1713,1690,1530,121736,-0.00018893342971676414,-0.00047644082276401394,9.857396333048565e-05,query,2000,42,False,none
global_safe,fiqa_s,0.01,tpir_at_rank_k,74,68,60,60423,-9.929993545504196e-05,-0.00021521764542743448,1.624296281727697e-05,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_l,0.01,fpir,1802,1709,1641,121736,-0.0007639482158112637,-0.0010021686271932707,-0.0005337369389498599,query,2000,42,False,none
global_empirical,fiqa_l,0.01,tpir_at_rank_k,79,75,72,60423,-6.619995697002797e-05,-0.0001881935228395492,3.3402518603194835e-05,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_l,0.01,fpir,1713,1709,1589,121736,-3.2857987776828546e-05,-0.0002792928961030427,0.00021357692054938557,query,2000,42,False,none
global_safe,fiqa_l,0.01,tpir_at_rank_k,74,75,69,60423,1.6549989242506992e-05,-6.698721276941587e-05,9.833808634083976e-05,mated_identity_cluster,2000,42,False,none
fiqa_s,fiqa_l,0.01,fpir,1690,1709,1529,121736,0.0001560754419399356,-0.00013143195110731419,0.00043536833804297826,query,2000,42,False,none
fiqa_s,fiqa_l,0.01,tpir_at_rank_k,68,75,60,60423,0.00011584992469754894,-1.66716221773871e-05,0.00024432096743104756,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_s,0.05,fpir,6470,6368,5670,121736,-0.0008378786883091279,-0.0014950384438456989,-0.00020536242360517842,query,2000,42,False,none
global_empirical,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006050908299745991,7.010963281536457e-05,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_s,0.05,fpir,6414,6368,5651,121736,-0.0003778668594335283,-0.0010103831241374778,0.0002466402707498182,query,2000,42,False,none
global_safe,fiqa_s,0.05,tpir_at_rank_k,421,405,367,60423,-0.0002647998278801119,-0.0006050908299745991,7.010963281536457e-05,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_l,0.05,fpir,6470,6313,6216,121736,-0.0012896760202405204,-0.0015853979102319774,-0.0010019632647696667,query,2000,42,False,none
global_empirical,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.00019476772735722438,0.00014857377951553924,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_l,0.05,fpir,6414,6313,6202,121736,-0.0008296641913649208,-0.0011253860813563777,-0.0005339423013734639,query,2000,42,False,none
global_safe,fiqa_l,0.05,tpir_at_rank_k,421,420,410,60423,-1.6549989242506992e-05,-0.00019476772735722438,0.00014857377951553924,mated_identity_cluster,2000,42,False,none
fiqa_s,fiqa_l,0.05,fpir,6368,6313,5620,121736,-0.0004517973319313925,-0.0010598754682263256,0.00017250443582834986,query,2000,42,False,none
fiqa_s,fiqa_l,0.05,tpir_at_rank_k,405,420,367,60423,0.00024824983863760486,-0.00010035383201835244,0.0006143507634669255,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_s,0.1,fpir,11654,11464,10182,121736,-0.001560754419399356,-0.002398633107708484,-0.0006982322402576066,query,2000,42,False,none
global_empirical,fiqa_s,0.1,tpir_at_rank_k,772,756,665,60423,-0.0002647998278801119,-0.0009238095727399571,0.00034968743315399873,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_s,0.1,fpir,11611,11464,10167,121736,-0.0012075310507984492,-0.0020456151015311817,-0.00034500887165669973,query,2000,42,False,none
global_safe,fiqa_s,0.1,tpir_at_rank_k,770,756,665,60423,-0.00023169984939509788,-0.0008889930542977631,0.00038289313124870107,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_l,0.1,fpir,11654,11406,10688,121736,-0.00203719524216337,-0.0026945603601235455,-0.0013389630019057634,query,2000,42,False,none
global_empirical,fiqa_l,0.1,tpir_at_rank_k,772,788,720,60423,0.0002647998278801119,-0.00011759367972686541,0.0006770132086192433,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_l,0.1,fpir,11611,11406,10671,121736,-0.001683971873562463,-0.002341131629099034,-0.0009857396333048565,query,2000,42,False,none
global_safe,fiqa_l,0.1,tpir_at_rank_k,770,788,719,60423,0.00029789980636512584,-8.847258495274906e-05,0.0007120955835960993,mated_identity_cluster,2000,42,False,none
fiqa_s,fiqa_l,0.1,fpir,11464,11406,10134,121736,-0.00047644082276401394,-0.001322534008017349,0.000353428731024511,query,2000,42,False,none
fiqa_s,fiqa_l,0.1,tpir_at_rank_k,756,788,667,60423,0.0005295996557602237,-0.00017963747041554,0.0012676778345010436,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_s,0.2,fpir,22069,22075,19476,121736,4.928698166524282e-05,-0.0011089570874679635,0.0012898813826641244,query,2000,42,False,none
global_empirical,fiqa_s,0.2,tpir_at_rank_k,1471,1442,1285,60423,-0.0004799496880327028,-0.00146714890506342,0.0005335347867799889,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_s,0.2,fpir,21900,22075,19399,121736,0.001437536965236249,0.0002792928961030427,0.0026534878754025095,query,2000,42,False,none
global_safe,fiqa_s,0.2,tpir_at_rank_k,1463,1442,1284,60423,-0.00034754977409264686,-0.0013128611199596785,0.000640499501650215,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_l,0.2,fpir,22069,21926,19275,121736,-0.0011746730630216205,-0.0023331224945784316,6.592133797726115e-05,query,2000,42,False,none
global_empirical,fiqa_l,0.2,tpir_at_rank_k,1471,1524,1311,60423,0.0008771494298528706,-7.825614145380759e-05,0.001797919411925,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_l,0.2,fpir,21900,21926,19223,121736,0.00021357692054938557,-0.0009038000262863898,0.0014623858184924744,query,2000,42,False,none
global_safe,fiqa_l,0.2,tpir_at_rank_k,1463,1524,1307,60423,0.0010095493437929266,3.407315347476831e-05,0.0019486144184116332,mated_identity_cluster,2000,42,False,none
fiqa_s,fiqa_l,0.2,fpir,22075,21926,19393,121736,-0.0012239600446868634,-0.002357971347834658,2.464349083262141e-05,query,2000,42,False,none
fiqa_s,fiqa_l,0.2,tpir_at_rank_k,1442,1524,1303,60423,0.0013570991178855733,0.0003273021043944558,0.0024313066543644635,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_s,0.3,fpir,33045,32659,29018,121736,-0.0031707958204639547,-0.004600118288755997,-0.0017168298613392916,query,2000,42,False,none
global_empirical,fiqa_s,0.3,tpir_at_rank_k,2161,2152,1890,60423,-0.00014894990318256292,-0.0013059523693863026,0.0010871641405543208,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_s,0.3,fpir,32654,32659,28847,121736,4.1072484721035685e-05,-0.001396669842938818,0.0014874400341723041,query,2000,42,False,none
global_safe,fiqa_s,0.3,tpir_at_rank_k,2140,2152,1879,60423,0.00019859987091008392,-0.000928275188220047,0.0013692697988082886,mated_identity_cluster,2000,42,False,none
global_empirical,fiqa_l,0.3,fpir,33045,32877,28348,121736,-0.001380035486626799,-0.0029243609121377408,0.00021357692054938557,query,2000,42,False,none
global_empirical,fiqa_l,0.3,tpir_at_rank_k,2161,2300,1916,60423,0.002300448504708472,0.0011894534431038668,0.003534146976506211,mated_identity_cluster,2000,42,False,none
global_safe,fiqa_l,0.3,fpir,32654,32877,28193,121736,0.0018318328185581915,0.0002875073930472498,0.003401007097325359,query,2000,42,False,none
global_safe,fiqa_l,0.3,tpir_at_rank_k,2140,2300,1907,60423,0.002647998278801119,0.0015345614250033494,0.0038910845640883545,mated_identity_cluster,2000,42,False,none
fiqa_s,fiqa_l,0.3,fpir,32659,32877,28473,121736,0.0017907603338371558,0.0002957218899914569,0.003318656765459683,query,2000,42,False,none
fiqa_s,fiqa_l,0.3,tpir_at_rank_k,2152,2300,1912,60423,0.002449398407891035,0.0010550658091935017,0.0038671991841117853,mated_identity_cluster,2000,42,False,none
