dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,tpir_rank,origin_tpir_at_rank_k_count,origin_tpir_at_rank_k_denominator,origin_tpir_at_rank_k,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir_at_rank_k_count,compressed_tpir_at_rank_k_denominator,compressed_tpir_at_rank_k,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,both_tpir_at_rank_k_count,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_tpir_at_rank_k_retention,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,tpir_cluster_ci_contract,tpir_cluster_ci_status,tpir_cluster_ci_identity_count,tpir_cluster_ci_resamples,tpir_cluster_ci_seed,tpir_cluster_ci_unit,tpir_cluster_ci_estimand,tpir_cluster_ci_threshold_uncertainty_included,tpir_cluster_ci_gallery_uncertainty_included,tpir_cluster_ci_multiple_comparison_adjustment,fpir_ci_unit,origin_tpir_at_rank_k_identity_cluster95_low,origin_tpir_at_rank_k_identity_cluster95_high,compressed_tpir_at_rank_k_identity_cluster95_low,compressed_tpir_at_rank_k_identity_cluster95_high,compressed_minus_origin_tpir_at_rank_k_identity_cluster95_low,compressed_minus_origin_tpir_at_rank_k_identity_cluster95_high,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,,,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.462099998913,0.379099999918,219.129899999,35984.8847,22004.5608,0.120798647336,8278.23839138,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.01,calibration,test,20,182159,60423,121736,,0.836437225342,-0.355155050755,2577,0.0426493222779,2390,0.0395544742896,10180,0.168478890489,9745,0.161279645168,2777,2743,52,60423,0.00086059944061,0.000656386121264,0.00112827540029,52,60423,0.00086059944061,0.000656386121264,0.00112827540029,44,0,-0.00013239991394,0.00013239991394,20,77,60423,0.00127434917167,0.00101984627167,0.00159226210617,79,60423,0.00130744915016,0.00104930099865,0.00162900312768,67,3.3099978485e-05,-0.00013239991394,0.000182049881668,1.02597402597,77,60423,0.00127434917167,79,60423,0.00130744915016,1.02597402597,0.168478890489,0.161279645168,1831,121736,0.0150407439048,0.0150407439048,0.0143721597554,0.0157399334993,1802,121736,0.0148025234935,0.0148025234935,0.0141392993923,0.0154963680735,1645,-0.000238220411382,-0.000533942301373,5.75014786094e-05,probe,query-weighted-mated-identity-percentile-v1,ok,3000,2000,42,mated_identity_cluster,query_weighted_rate,False,False,none,query,0.000584728577155,0.00209041916066,0.000578564795899,0.00225356802692,-0.000164499168518,0.000278862393287,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129719,0.71211963175,0.699060739158,,,532,0.002920525475,283,0.00155358779967,249,0.00136693767533,119957,0.658529087226,119986,0.658688288803,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,,,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.462099998913,0.379099999918,219.129899999,35984.8847,22004.5608,0.120798647336,8278.23839138,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.05,calibration,test,20,182159,60423,121736,,0.800525426865,-0.425402551889,2577,0.0426493222779,2390,0.0395544742896,10180,0.168478890489,9745,0.161279645168,10172,10115,250,60423,0.00413749731063,0.00365624877754,0.00468179184575,245,60423,0.00405474736441,0.00357861679443,0.0045939344576,216,-8.27499462125e-05,-0.00033099978485,0.000165499892425,20,430,60423,0.00711649537428,0.00647688004347,0.00781877794503,421,60423,0.0069675454711,0.00633493268937,0.00766284443087,387,-0.000148949903183,-0.000430299720305,9.9299935455e-05,0.979069767442,430,60423,0.00711649537428,421,60423,0.0069675454711,0.979069767442,0.168478890489,0.161279645168,6515,121736,0.0535174475915,0.0535174475915,0.0522671996473,0.0547958727424,6470,121736,0.053147795229,0.053147795229,0.0519016863269,0.0544221046664,6088,-0.000369652362489,-0.0008134405599,8.23503318657e-05,probe,query-weighted-mated-identity-percentile-v1,ok,3000,2000,42,mated_identity_cluster,query_weighted_rate,False,False,none,query,0.004382351147,0.0103496376215,0.0041863457146,0.0103340155596,-0.000527119647047,0.000242487952843,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129719,0.71211963175,0.699060739158,,,1279,0.00702133850098,668,0.00366712597236,611,0.00335421252862,115471,0.633902250232,115511,0.634121838614,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,,,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.462099998913,0.379099999918,219.129899999,35984.8847,22004.5608,0.120798647336,8278.23839138,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.1,calibration,test,20,182159,60423,121736,,0.777746081352,-0.470093369484,2577,0.0426493222779,2390,0.0395544742896,10180,0.168478890489,9745,0.161279645168,18202,18250,401,60423,0.00663654568625,0.00601977199171,0.0073160476435,390,60423,0.00645449580458,0.0058466050642,0.00712513795426,342,-0.000182049881668,-0.000496499677275,0.00013239991394,20,791,60423,0.0130910414908,0.0122151943623,0.0140287962309,772,60423,0.0127765916952,0.0119115654629,0.0137035655195,723,-0.000314449795608,-0.000645449580458,1.65499892425e-05,0.97597977244,791,60423,0.0130910414908,772,60423,0.0127765916952,0.97597977244,0.168478890489,0.161279645168,11604,121736,0.0953210225406,0.0953210225406,0.0936841628574,0.0969834212356,11654,121736,0.0957317473878,0.0957317473878,0.0940917001597,0.0973973077072,11012,0.00041072484721,-0.00015607544194,0.000993954130249,probe,query-weighted-mated-identity-percentile-v1,ok,3000,2000,42,mated_identity_cluster,query_weighted_rate,False,False,none,query,0.00850079077245,0.018617483304,0.00814918840433,0.0183883865745,-0.000836754859522,0.000227962671642,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129719,0.71211963175,0.699060739158,,,1954,0.0107268924401,953,0.00523169319111,1001,0.00549519924901,110533,0.606794064526,110472,0.606459192244,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,,,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.462099998913,0.379099999918,219.129899999,35984.8847,22004.5608,0.120798647336,8278.23839138,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.2,calibration,test,20,182159,60423,121736,,0.745633363724,-0.532887876034,2577,0.0426493222779,2390,0.0395544742896,10180,0.168478890489,9745,0.161279645168,34314,34399,655,60423,0.0108402429538,0.0100451236593,0.0116975560357,644,60423,0.0106581930722,0.00986996679005,0.0115086362882,576,-0.000182049881668,-0.000579663373219,0.00019859987091,20,1498,60423,0.0247918838853,0.0235819688462,0.0260622188425,1471,60423,0.0243450341757,0.0231460856516,0.0256044594324,1380,-0.000446849709548,-0.000910249408338,0,0.981975967957,1498,60423,0.0247918838853,1471,60423,0.0243450341757,0.981975967957,0.168478890489,0.161279645168,21991,121736,0.1806450023,0.1806450023,0.17849392663,0.182816232245,22069,121736,0.181285733062,0.181285733062,0.179131654689,0.183459925272,21090,0.000640730761648,-4.94923440888e-05,0.00138003548663,probe,query-weighted-mated-identity-percentile-v1,ok,3000,2000,42,mated_identity_cluster,query_weighted_rate,False,False,none,query,0.0179110828978,0.0328252355124,0.0173946197473,0.0324383520801,-0.00109585994129,0.000289089156816,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129719,0.71211963175,0.699060739158,,,2921,0.0160354415648,1418,0.00778440812697,1503,0.00825103343782,100400,0.551166837763,100311,0.550678253614,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,,,population-be3c0699e9b36cffc1ff86ee,origin-embedding-c70c8c1f2657fb794827862c,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pq,pq_512_m128_b8,pq_adc_exhaustive,origin_float32,pq_code,squared_l2_asymmetric,cosine_similarity,negative_squared_l2_adc,False,False,1,time.perf_counter,0.462099998913,0.379099999918,219.129899999,35984.8847,22004.5608,0.120798647336,8278.23839138,3000,2048,6144000,908288,302.762666667,recalibrated_compressed,0.3,calibration,test,20,182159,60423,121736,,0.719288289547,-0.584186375141,2577,0.0426493222779,2390,0.0395544742896,10180,0.168478890489,9745,0.161279645168,51051,51183,869,60423,0.0143819406517,0.013463026413,0.0153625983718,848,60423,0.0140343908776,0.0131268668104,0.0150037026151,760,-0.000347549774093,-0.00079439948364,9.9299935455e-05,20,2239,60423,0.037055425914,0.03557844833,0.0385912641789,2161,60423,0.0357645267531,0.0343131000882,0.0372749782291,2030,-0.00129089916092,-0.00188711252338,-0.000711649537428,0.965163019205,2239,60423,0.037055425914,2161,60423,0.0357645267531,0.965163019205,0.168478890489,0.161279645168,32920,121736,0.270421239403,0.270421239403,0.267933371674,0.27292359569,33045,121736,0.271448051521,0.271448051521,0.268957178689,0.27395334811,31792,0.00102681211803,0.000246434908326,0.00182361832161,probe,query-weighted-mated-identity-percentile-v1,ok,3000,2000,42,mated_identity_cluster,query_weighted_rate,False,False,none,query,0.0287711376,0.0463851227781,0.0273586838272,0.0451992994112,-0.00208194142856,-0.000458372653058,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,129719,0.71211963175,0.699060739158,,,3630,0.0199276456283,1749,0.00960150198453,1881,0.0103261436437,89685,0.492344600047,89539,0.491543102454,0,128,524288,faiss_centroids,524288,faiss_centroids
