compression_profile,search_mode,threshold_policy,target_fpir,side,quantile,score,threshold,score_space
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.5,0.6875133514404297,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.95,0.8087219595909119,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.99,0.8524077266454695,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,0.999,0.8939970362186431,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,origin,1.0,0.9327495098114014,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.5,0.6775801777839661,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.95,0.7899025976657867,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.99,0.8301623523235321,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,0.999,0.866682002544403,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.01,compressed,1.0,0.8998286724090576,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.5,0.6875133514404297,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.95,0.8087219595909119,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.99,0.8524077266454695,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,0.999,0.8939970362186431,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,origin,1.0,0.9327495098114014,0.8496358394622803,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.5,0.6775801777839661,0.8282594084739685,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.95,0.7899025976657867,0.8282594084739685,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.99,0.8301623523235321,0.8282594084739685,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,0.999,0.866682002544403,0.8282594084739685,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,compressed,1.0,0.8998286724090576,0.8282594084739685,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.5,0.6875133514404297,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.95,0.8087219595909119,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.99,0.8524077266454695,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,0.999,0.8939970362186431,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,origin,1.0,0.9327495098114014,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.5,0.6775801777839661,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.95,0.7899025976657867,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.99,0.8301623523235321,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,0.999,0.866682002544403,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.05,compressed,1.0,0.8998286724090576,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.5,0.6875133514404297,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.95,0.8087219595909119,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.99,0.8524077266454695,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,0.999,0.8939970362186431,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,origin,1.0,0.9327495098114014,0.8104064464569092,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.5,0.6775801777839661,0.7925257682800293,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.95,0.7899025976657867,0.7925257682800293,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.99,0.8301623523235321,0.7925257682800293,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,0.999,0.866682002544403,0.7925257682800293,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,compressed,1.0,0.8998286724090576,0.7925257682800293,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.5,0.6875133514404297,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.95,0.8087219595909119,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.99,0.8524077266454695,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,0.999,0.8939970362186431,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,origin,1.0,0.9327495098114014,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.5,0.6775801777839661,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.95,0.7899025976657867,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.99,0.8301623523235321,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,0.999,0.866682002544403,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.1,compressed,1.0,0.8998286724090576,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.5,0.6875133514404297,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.95,0.8087219595909119,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.99,0.8524077266454695,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,0.999,0.8939970362186431,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,origin,1.0,0.9327495098114014,0.787321925163269,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.5,0.6775801777839661,0.7708616256713867,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.95,0.7899025976657867,0.7708616256713867,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.99,0.8301623523235321,0.7708616256713867,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,0.999,0.866682002544403,0.7708616256713867,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,compressed,1.0,0.8998286724090576,0.7708616256713867,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.5,0.6875133514404297,0.757611095905304,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.95,0.8087219595909119,0.757611095905304,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.99,0.8524077266454695,0.757611095905304,cosine_similarity
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.2,origin,0.999,0.8939970362186431,0.757611095905304,cosine_similarity
