compression_profile,search_mode,threshold_policy,target_fpir,reference_profile,n,reference_fa,candidate_fa,both_fa,neither_fa,new_fa,lost_fa,delta_fpir,delta_ci_low,delta_ci_high
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,425,213,172,121270,41,253,-0.001741473352171913,-0.0020207662482749555,-0.0014703949530130774
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1342,1222,920,120092,302,422,-0.0009857396333048565,-0.0014293224682920419,-0.0005339423013734639
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,2896,1536,1419,118723,117,1477,-0.011171715844121705,-0.011837090096602484,-0.010506136229217323
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,5607,5429,4299,114999,1130,1308,-0.0014621804560688704,-0.002291844647433791,-0.0006735887494249852
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,6676,3818,3576,114818,242,3100,-0.023477032266543997,-0.02433175067358875,-0.022557008608792797
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11103,10983,8977,108627,2006,2126,-0.0009857396333048565,-0.0020458204639547868,4.949234408884688e-05
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,15964,10819,10175,105128,644,5789,-0.04226358677794572,-0.04356147729513045,-0.040957481763816785
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,22394,22283,18880,95939,3403,3514,-0.0009118091608069921,-0.00226720115660117,0.00043557370046658233
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,26722,20731,19400,93683,1331,7322,-0.04921305119274496,-0.050691866005125846,-0.04764408227640139
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m128_b8,121736,33958,33946,29714,83546,4232,4244,-9.857396333048565e-05,-0.0016020322665439965,0.0014703949530130774
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m64_b8,121736,213,1962,213,119774,1749,0,0.014367155155418282,0.013676932049681277,0.015040743904843267
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1222,1084,818,120248,266,404,-0.001133600578300585,-0.0015443254255109416,-0.0007473138594992454
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m64_b8,121736,1536,7118,1531,114613,5587,5,0.04585332194256424,0.044662219885654206,0.047093916343563115
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m64_b8,121736,5429,5291,3991,115007,1300,1438,-0.001133600578300585,-0.0019554609975685083,-0.0002875073930472498
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m64_b8,121736,3818,14253,3788,107453,10465,30,0.08571827561280147,0.08411644870868108,0.08732893310113689
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m64_b8,121736,10983,10610,8312,108455,2298,2671,-0.003064007360189262,-0.004140106459880397,-0.0018807090753762263
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m64_b8,121736,10819,30497,10736,91156,19761,83,0.16164487086810803,0.15957461227574424,0.1637728363015049
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m64_b8,121736,22283,21860,17660,95253,4200,4623,-0.0034747322073996187,-0.004994414142077939,-0.0018726999408556232
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m64_b8,121736,20731,46716,20586,74875,26130,145,0.21345370309522244,0.2112107347046067,0.21574554774265625
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m64_b8,121736,33946,33512,28170,82448,5342,5776,-0.0035650916737858976,-0.005265492541236774,-0.001798769468357759
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m32_b8,121736,1962,11592,1958,110140,9634,4,0.07910560557271473,0.07756128014720379,0.0806829943484261
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m32_b8,121736,1084,865,655,120442,210,429,-0.001798974830781363,-0.002217914174935927,-0.001371820989682592
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m32_b8,121736,7118,34030,7100,87688,26930,18,0.22106854176250246,0.2186115857264901,0.22345916573569033
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m32_b8,121736,5291,5157,3745,115033,1412,1546,-0.0011007425905237562,-0.001971479266609713,-0.00022980055201419575
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m32_b8,121736,14253,51592,14226,70117,37366,27,0.3067211013997503,0.3039606197016495,0.30932530229348754
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m32_b8,121736,10610,10608,7709,108227,2899,2901,-1.6428993888414273e-05,-0.0013063103765525396,0.001257023394887296
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m32_b8,121736,30497,71984,30455,49710,41529,42,0.3407948347243215,0.338157981205231,0.34346475159361245
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m32_b8,121736,21860,21967,16731,94640,5236,5129,0.0008789511730301637,-0.0007641535782348685,0.002645068016034698
pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m32_b8,121736,46716,84008,46653,37665,37355,63,0.30633502004337254,0.3037801061313005,0.30894743543405406
pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m32_b8,121736,33512,33562,27046,81708,6516,6466,0.00041072484721035683,-0.0014623858184924753,0.0022427630281921527
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.01,pq_512_m16_b8,121736,11592,49544,11491,72091,38053,101,0.31175658802654926,0.3090702421633699,0.31442629953341655
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,pq_512_m16_b8,121736,865,852,440,120459,412,425,-0.00010678846027469278,-0.000599658276927121,0.0003532233686009069
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.05,pq_512_m16_b8,121736,34030,78034,33901,43573,44133,129,0.36147072353289084,0.35884187914832094,0.36420656174015903
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,pq_512_m16_b8,121736,5157,4903,3091,114767,1812,2066,-0.002086482223828613,-0.003023140237891831,-0.0010594647433791167
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.1,pq_512_m16_b8,121736,51592,90008,51439,31575,38569,153,0.31556811460866135,0.3129308503647237,0.31809037589538014
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,pq_512_m16_b8,121736,10608,10249,6557,107436,3692,4051,-0.0029490044029703622,-0.004337459748964973,-0.0014946277189984908
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.2,pq_512_m16_b8,121736,71984,101450,71837,20139,29613,147,0.2420483669580075,0.23962467963461917,0.24445541992508377
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,pq_512_m16_b8,121736,21967,21600,15083,93252,6517,6884,-0.0030147203785240192,-0.004871402050338437,-0.0009855342708812525
pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,0.3,pq_512_m16_b8,121736,84008,107936,83847,13639,24089,161,0.19655648288098837,0.19434678320299664,0.19875817342445948
pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,pq_512_m16_b8,121736,33562,33279,25096,79991,8183,8466,-0.00232470263521062,-0.00438695209305382,-0.00013143195110731419
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m128_b8,121736,667,281,278,121066,3,389,-0.0031707958204639547,-0.003482946704343826,-0.002875073930472498
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m128_b8,121736,1325,1273,1076,120214,197,249,-0.00042715384109877114,-0.0007721627127554708,-0.00010658309785108873
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.05,pq_512_m128_b8,121736,3601,1738,1727,118124,11,1874,-0.015303607807057897,-0.016001840047315502,-0.014605170204376685
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.05,pq_512_m128_b8,121736,5640,5623,4987,115460,636,653,-0.00013964644805152134,-0.0007477245843464542,0.00043557370046658233
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.1,pq_512_m128_b8,121736,7757,3889,3883,113973,6,3874,-0.0317736741801932,-0.03276762831044227,-0.030829007031609384
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.1,pq_512_m128_b8,121736,11308,11112,10091,109407,1021,1217,-0.0016100414010645988,-0.00238220411382007,-0.0008789511730301637
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.2,pq_512_m128_b8,121736,17001,9676,9658,104717,18,7343,-0.060171190116317275,-0.061592503450088716,-0.05890574686206217
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.2,pq_512_m128_b8,121736,22406,22440,20588,97478,1852,1818,0.0002792928961030427,-0.0006409361240717615,0.0012732470263521062
pq_512_m64_b8,pq_one_sided_cosine,frozen_origin,0.3,pq_512_m128_b8,121736,27450,17321,17298,94263,23,10152,-0.08320463954787409,-0.0848150916737859,-0.08166852861930736
pq_512_m64_b8,pq_one_sided_cosine,recalibrated_compressed,0.3,pq_512_m128_b8,121736,33899,33843,31586,85580,2257,2313,-0.00046001182887559964,-0.001568968916343563,0.0006407307616481567
pq_512_m32_b8,pq_one_sided_cosine,frozen_origin,0.01,pq_512_m64_b8,121736,281,412,259,121302,153,22,0.001076099099691135,0.0008625221791417494,0.0013061050141289347
pq_512_m32_b8,pq_one_sided_cosine,recalibrated_compressed,0.01,pq_512_m64_b8,121736,1273,1099,953,120317,146,320,-0.0014293224682920419,-0.0017743313399487416,-0.0010923227311559452
