compression_profile,search_mode,threshold_policy,target_fpir,cohort,count,fixed_winner_drift_mean,selection_gain_mean,maximum_score_drift_mean,decomposition_max_abs_residual,selection_gain_min_raw
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_same_winner,1192,-0.003359076874195527,8.634946868273851e-10,-0.0033590760107008403,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_changed_winner,555,-0.013506154867837268,0.009476281290513148,-0.00402987357732412,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa,162,0.0032544222135394226,0.004403786380370701,0.007658208593910123,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_same_winner,110,0.007340745245979411,3.4975980253451864e-09,0.007340748743577437,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_changed_winner,52,-0.00538972266277594,0.01371948094008213,0.00832975827730619,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,all_nonmated,121736,-0.011946113130278973,0.0029037248130379693,-0.009042388317241003,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa,2073,-0.004174424530204894,0.003245463972938019,-0.0009289605572668757,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_same_winner,1417,-0.0009177269579696616,-1.7615599258430373e-09,-0.0009177287195295873,0.0,-5.598076313617639e-07
pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_changed_winner,656,-0.011209089865353256,0.010255867853705683,-0.0009532220116475733,0.0,-5.598076313617639e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,2,-0.011384136699467362,0.020972080253391923,0.00958794355392456,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,0,,,,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,2,-0.011384136699467362,0.020972080253391923,0.00958794355392456,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,232,-0.018607926110158133,0.004491476250522549,-0.014116449859635583,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,150,-0.013901714259697858,1.2888822817173443e-08,-0.013901701370875041,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_changed_winner,82,-0.027216850226853755,0.012707567765826938,-0.01450928246102682,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa,7,0.001977177458167231,0.011808116665891084,0.013785294124058314,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_same_winner,5,0.014368929469262604,9.930456634776873e-09,0.014368939399719238,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_changed_winner,2,-0.0290022025695712,0.041328383504477206,0.012326180934906006,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa,985,-0.02112216573695689,0.00793957382908775,-0.013182591907869136,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_same_winner,477,-0.01309690182726274,5.344799086892811e-09,-0.013096896482463653,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_changed_winner,508,-0.028657698974996468,0.015394641086972971,-0.013263057888023497,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa,29,0.0021421917726551164,0.010157514423307723,0.01229970619596284,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_same_winner,16,0.011628153733582725,-1.3969512213662938e-08,0.01162813976407051,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.1,new_fa_changed_winner,13,-0.00953283833310194,0.02265908782985534,0.013126249496753398,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa,1900,-0.0185285316165334,0.008447650435017256,-0.010080881181516146,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_same_winner,928,-0.010078124927998908,-9.512358154514502e-11,-0.010078125023122492,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.1,new_fa_changed_winner,972,-0.026596409607232998,0.016512897031694927,-0.01008351257553807,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa,105,0.0026920583136207693,0.010248049894808476,0.012940108208429245,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa_same_winner,58,0.013142752966400684,1.4684927040659238e-08,0.013142767651327726,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.2,new_fa_changed_winner,47,-0.010204543598320402,0.022894561430406843,0.012690017832086441,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa,3294,-0.014881398930214847,0.010182177349301835,-0.004699221580913013,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_same_winner,1430,-0.004605727608861303,1.5135149987223726e-09,-0.004605726095346304,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.2,new_fa_changed_winner,1864,-0.02276455879584552,0.01799361052804388,-0.0047709482678016365,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa,322,-0.0006211765153921496,0.014581726065418988,0.013960549550026841,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_same_winner,130,0.014391295703826032,-8.23029416243169e-09,0.014391287473531869,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,0.3,new_fa_changed_winner,192,-0.01078587124715446,0.024454775328141432,0.013668904080986977,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,all_nonmated,121736,-0.02126956299893058,0.010703097994113215,-0.010566465004817364,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa,4135,-0.01061221291849819,0.011458708915870579,0.0008464959973723885,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_same_winner,1665,0.0011345471058667306,-1.3672341159798886e-09,0.0011345457386326145,0.0,-5.308997366171297e-07
pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,0.3,new_fa_changed_winner,2470,-0.018530575445043773,0.01918290026055451,0.0006523248155107383,0.0,-5.308997366171297e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,all_nonmated,121736,0.010591271160922636,0.018920708134279776,0.02951197929520241,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa,925,0.02860388376003247,0.008593351772676602,0.03719723553270907,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_same_winner,487,0.03789766143209287,-2.1538342193493757e-09,0.03789765927825865,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.01,new_fa_changed_winner,438,0.01827039123424841,0.018148062645303935,0.036418453879552344,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,all_nonmated,121736,0.010591271160922636,0.018920708134279776,0.02951197929520241,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa,335,0.039296590631425515,0.008511059258563167,0.04780764988998869,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_same_winner,186,0.04896108045000713,-1.3698937215771996e-08,0.04896106675106992,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.01,new_fa_changed_winner,149,0.027232193945142428,0.01913562013168445,0.04636781407682688,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,all_nonmated,121736,0.010591271160922636,0.018920708134279776,0.02951197929520241,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa,2607,0.022658706211030784,0.012599535955647145,0.03525824216667793,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_same_winner,1017,0.03659149821099305,-4.350300069374853e-09,0.036591493860692985,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,0.05,new_fa_changed_winner,1590,0.013746976988413406,0.02065848720794168,0.03440546419635509,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,all_nonmated,121736,0.010591271160922636,0.018920708134279776,0.02951197929520241,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa,1391,0.029049041317456874,0.01267434346087647,0.041723384778333344,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_same_winner,564,0.04302987082749183,-9.68588794512682e-09,0.04302986114160389,0.0,-5.22328377883241e-07
pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,0.05,new_fa_changed_winner,827,0.01951435226829156,0.021318037747182546,0.04083239001547411,0.0,-5.22328377883241e-07
