reference_method,candidate_method,target_fpir,metric,split_count,delta_min,delta_q25,delta_median,delta_q75,delta_max,positive_delta_split_count,negative_delta_split_count,positive_conditional_ci_split_count,negative_conditional_ci_split_count,between_split_statistics_are_ci,independent_replications,multiple_comparison_adjustment
fiqa_l_2bin,fiqa_l_5bin,0.01,fpir,20,-0.00209469672077282,-0.0015545935466912005,-0.00116235131760531,-0.00093234540316751,-0.000542156798317671,0,20,0,20,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.01,tpir_at_rank_k,20,-6.619995697002797e-05,1.6549989242506992e-05,9.102494083378847e-05,0.00013653741125068268,0.0002151498601525909,16,4,0,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.05,fpir,20,0.00032036538082407835,0.0006427843858842085,0.001351284747322074,0.0019529966484852469,0.003433659722678583,20,0,14,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.05,tpir_at_rank_k,20,0.00024824983863760486,0.00033099978485013986,0.0004220247256839283,0.0005337371530708505,0.0008109494728828426,20,0,0,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.1,fpir,20,0.0018154038246697773,0.0038546526910691985,0.004271538410987711,0.0048034270881251225,0.006703029506473023,20,0,20,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.1,tpir_at_rank_k,20,0.00013239991394005594,0.0004551247041689423,0.0005875246181089982,0.0006702745643215332,0.0010591993115204475,20,0,0,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.2,fpir,20,0.002341131629099034,0.0037375961096142475,0.005125846093185253,0.007185631201945193,0.009906683314713807,20,0,20,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.2,tpir_at_rank_k,20,0.0002813498171226189,0.0005006371745858365,0.0007116495374278007,0.0009433493868228985,0.0015887989672806713,20,0,1,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.3,fpir,20,0.00361437865545114,0.00697410790563186,0.008764868239469014,0.011635834921469409,0.014211079713478347,20,0,20,0,False,False,none
fiqa_l_2bin,fiqa_l_5bin,0.3,tpir_at_rank_k,20,0.0005957996127302517,0.0012040117173923838,0.0015308740049318967,0.001919798752130811,0.002316998493950979,20,0,5,0,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,fpir,20,-0.00018071893277255702,3.6965236248932116e-05,0.00016018269041203915,0.00042099296839061577,0.0007146612341460209,15,4,8,0,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.01,tpir_at_rank_k,20,-6.619995697002797e-05,4.964996772752098e-05,8.274994621253496e-05,9.929993545504196e-05,0.00014894990318256292,18,1,0,0,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.05,fpir,20,-0.0021193402116054414,-0.0015587007951633042,-0.0007393047249786423,-0.00019304067818886773,0.00042715384109877114,2,18,0,11,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.05,tpir_at_rank_k,20,-1.6549989242506992e-05,6.619995697002797e-05,0.00014894990318256292,0.0002151498601525909,0.00033099978485013986,16,2,0,0,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.1,fpir,20,-0.0033925872379575476,-0.0024581882105539857,-0.0012609252809357954,-0.0007783235854636262,0.0007557337188670566,1,19,0,15,False,False,none
fiqa_s_2bin,fiqa_l_2bin,0.1,tpir_at_rank_k,20,-1.6549989242506992e-05,0.00028548731443324557,0.0004302997203051818,0.0005337371530708505,0.0008771494298528706,18,1,2,0,False,False,none
