split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,67064,1.0,601,0.008961588929977334,-0.3524131178855896,-0.35587636202573786,[],False,global_safe,0.01,0
safety,all,31761,1.0,317,0.009980794055602784,-0.3524131178855896,-0.3525839567184447,[],False,global_safe,0.01,0
test,all,121736,1.0,1686,0.013849641847933233,-0.3524131178855896,-0.3399116531014443,[],False,global_safe,0.01,0
fit,low,33340,0.49713706310390077,259,0.007768446310737852,-0.34169018268585205,-0.3507406786084175,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.3634083544978864,-0.3635586038231851,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,low,15435,0.4859733635590819,154,0.009977324263038548,-0.34169018268585205,-0.3423567044734956,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,high,16326,0.5140266364409181,140,0.008575278696557638,-0.3634083544978864,-0.36937040090560913,[0.5466472],False,fiqa_s_2bin,0.01,0
test,low,59311,0.48721002825786947,759,0.012796951661580482,-0.34169018268585205,-0.33275557458400723,[0.5466472],False,fiqa_s_2bin,0.01,0
test,high,62425,0.5127899717421305,852,0.013648378053664397,-0.3634083544978864,-0.3494795083999633,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,low,33776,0.5036383156387928,221,0.006543107531975367,-0.35026341676712036,-0.3627902939915657,[0.5597402],False,fiqa_l_2bin,0.01,0
fit,high,33288,0.4963616843612072,332,0.009973564047104061,-0.349929541349411,-0.3501043140888216,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,low,15462,0.48682346273731936,154,0.009959901694476782,-0.35026341676712036,-0.3505636647343637,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,high,16299,0.5131765372626806,144,0.00883489784649365,-0.349929541349411,-0.35400731682777375,[0.5597402],False,fiqa_l_2bin,0.01,0
test,low,58468,0.4802852073339029,640,0.010946158582472464,-0.35026341676712036,-0.3469588854908942,[0.5597402],False,fiqa_l_2bin,0.01,0
test,high,63268,0.5197147926660971,949,0.014999683884428147,-0.349929541349411,-0.33140876889228815,[0.5597402],False,fiqa_l_2bin,0.01,0
fit,q1,13153,0.1961260885124657,73,0.005550064624040143,-0.3340335786342621,-0.35400335788726817,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q2,13448,0.20052487176428485,134,0.009964306960142772,-0.34523826837539673,-0.34604088634252544,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q3,13402,0.19983895979959443,104,0.007760035815549918,-0.3442172706127167,-0.3519365504384041,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q4,13528,0.20171776213765955,135,0.009979302188054406,-0.3555958569049835,-0.35591868728399284,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
fit,q5,13533,0.20179231778599546,129,0.009532254489026823,-0.39075562357902527,-0.3931074571609497,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q1,5945,0.18717924498598912,59,0.00992430613961312,-0.3340335786342621,-0.33488209247589085,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q2,6331,0.19933251471930985,60,0.00947717580161112,-0.34523826837539673,-0.34691222012043,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q3,6337,0.19952142564780706,63,0.009941612750512861,-0.3442172706127167,-0.34563277125358577,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q4,6410,0.20181984194452315,55,0.00858034321372855,-0.3555958569049835,-0.3612122720479966,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
safety,q5,6738,0.21214697270237085,67,0.009943603443158207,-0.39075562357902527,-0.39127319186925885,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
test,q1,23170,0.19032989419727936,221,0.00953819594302978,-0.3340335786342621,-0.33518942743539804,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
test,q2,24283,0.1994726292961819,364,0.014989910637071202,-0.34523826837539673,-0.32872951328754424,"[0.400407338, 0.501297474, 0.59488708, 0.7268965]",False,fiqa_s_5bin,0.01,0
