model_family,model_uid,source_run_id,group,metric,sample_count,identity_count,mean,median,positive_fraction,mean_ci_lower,mean_ci_upper,confidence_level,bootstrap_method,bootstrap_repeats
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,all,high_saliency_occlusion_score_drop,2048,1581,0.0902671482618,0.0885779261589,0.85498046875,0.0862839848941,0.0942745291128,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,all,low_saliency_occlusion_score_drop,2048,1581,0.0312963431716,0.0245794355869,0.69677734375,0.028465919798,0.0340460446213,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,all,random_occlusion_score_drop,2048,1581,0.114477513482,0.116139277816,0.904296875,0.110399946507,0.118516935471,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,all,faithfulness_gain_over_low_saliency,2048,1581,0.0589708050829,0.05870911479,0.7373046875,0.0545930070262,0.0634477668455,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,all,faithfulness_gain_over_random,2048,1581,-0.0242103652126,-0.0262508094311,0.39306640625,-0.0284842062532,-0.0197767438582,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=registered_probe,high_saliency_occlusion_score_drop,1024,557,0.0884295957658,0.0887745916843,0.845703125,0.0826750421612,0.0945853056801,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=registered_probe,low_saliency_occlusion_score_drop,1024,557,0.0303766857396,0.0239804387093,0.7041015625,0.0270328663764,0.0340175343094,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=registered_probe,random_occlusion_score_drop,1024,557,0.114917030864,0.117111086845,0.90234375,0.108850526873,0.121046182866,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1024,557,0.0580529100407,0.0601097047329,0.740234375,0.0517336275487,0.0637970029398,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=registered_probe,faithfulness_gain_over_random,1024,557,-0.0264874350833,-0.028124243021,0.390625,-0.0326114912308,-0.0202500659076,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1024,1024,0.0921047007578,0.088216394186,0.8642578125,0.0869406462283,0.0977893009152,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1024,1024,0.0322160006035,0.025413364172,0.689453125,0.0281014950226,0.036259173858,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1024,1024,0.1140379961,0.115627288818,0.90625,0.1084621564,0.119142543395,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1024,1024,0.0598887001252,0.0560598671436,0.734375,0.0538082125819,0.0663559792265,0.95,identity_cluster,1000
arcface,arcface-7972a704552df378345f,20260729-R001-cccb59d5,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1024,1024,-0.021933295342,-0.0229016244411,0.3955078125,-0.0278596423432,-0.0168441616828,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,all,high_saliency_occlusion_score_drop,2048,1575,0.10581323793,0.0958472937346,0.87939453125,0.101539727354,0.110125532721,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,all,low_saliency_occlusion_score_drop,2048,1575,0.0214521444286,0.0145513117313,0.64208984375,0.018844795838,0.0240259781267,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,all,random_occlusion_score_drop,2048,1575,0.181398137418,0.175582274795,0.94970703125,0.176053725933,0.187063236154,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,all,faithfulness_gain_over_low_saliency,2048,1575,0.0843610934717,0.0803763270378,0.794921875,0.0794800030676,0.0891914782697,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,all,faithfulness_gain_over_random,2048,1575,-0.0755848994995,-0.0735750049353,0.240234375,-0.0807281367831,-0.0705237558748,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=registered_probe,high_saliency_occlusion_score_drop,1024,551,0.109623967901,0.100892961025,0.8681640625,0.103063313222,0.115938053551,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=registered_probe,low_saliency_occlusion_score_drop,1024,551,0.0202182857611,0.0135889351368,0.6357421875,0.0168953329307,0.0236680158214,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=registered_probe,random_occlusion_score_drop,1024,551,0.183081773906,0.176621556282,0.94921875,0.175192657946,0.191289236305,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1024,551,0.0894056820689,0.0851693749428,0.79296875,0.0826420678942,0.0961012041257,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=registered_probe,faithfulness_gain_over_random,1024,551,-0.0734578060365,-0.0711248517036,0.24609375,-0.0803968225686,-0.0660278216101,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1024,1024,0.10200250796,0.0907786637545,0.890625,0.0961465626966,0.107770911566,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1024,1024,0.0226860030962,0.015711158514,0.6484375,0.0189481565507,0.0265778803419,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1024,1024,0.17971450093,0.175055205822,0.9501953125,0.172847717855,0.186414790176,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1024,1024,0.0793165048744,0.0755817592144,0.796875,0.0728026484394,0.0859797610607,0.95,identity_cluster,1000
adaface,adaface-4df25b75e065b0b9ed43,20260731-R001-8f94ec62,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1024,1024,-0.0777119929626,-0.0765026509762,0.234375,-0.0839763715527,-0.0709173659518,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,all,high_saliency_occlusion_score_drop,2048,1577,0.0970944700621,0.0888135433197,0.88720703125,0.093282321218,0.101136623697,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,all,low_saliency_occlusion_score_drop,2048,1577,0.189996531779,0.185081660748,0.966796875,0.185298653892,0.194708504814,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,all,random_occlusion_score_drop,2048,1577,0.217084972302,0.217785075307,0.990234375,0.212942013621,0.221077361959,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,all,faithfulness_gain_over_low_saliency,2048,1577,-0.0929020617041,-0.091342613101,0.19287109375,-0.0978349072054,-0.0882717121706,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,all,faithfulness_gain_over_random,2048,1577,-0.119990502288,-0.11952278018,0.1123046875,-0.124602488652,-0.115339696329,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=registered_probe,high_saliency_occlusion_score_drop,1024,553,0.0970757940995,0.0868005752563,0.9033203125,0.0916857891654,0.102779058824,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=registered_probe,low_saliency_occlusion_score_drop,1024,553,0.186356923077,0.180898338556,0.96875,0.17945088108,0.193399039528,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=registered_probe,random_occlusion_score_drop,1024,553,0.215399089022,0.218482419848,0.98828125,0.209063317339,0.221844598423,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=registered_probe,faithfulness_gain_over_low_saliency,1024,553,-0.0892811289668,-0.0901229828596,0.203125,-0.0964963228827,-0.0827507475302,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=registered_probe,faithfulness_gain_over_random,1024,553,-0.118323294984,-0.117310553789,0.1123046875,-0.12411883555,-0.112099439685,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=unknown_unknown_probe,high_saliency_occlusion_score_drop,1024,1024,0.0971131460246,0.0903370380402,0.87109375,0.0912506456021,0.102588610709,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=unknown_unknown_probe,low_saliency_occlusion_score_drop,1024,1024,0.193636140481,0.188599467278,0.96484375,0.186752184769,0.199962424142,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=unknown_unknown_probe,random_occlusion_score_drop,1024,1024,0.218770855583,0.217340692878,0.9921875,0.213476831688,0.224105860827,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=unknown_unknown_probe,faithfulness_gain_over_low_saliency,1024,1024,-0.0965229944413,-0.092629045248,0.1826171875,-0.103664968184,-0.0894960403315,0.95,identity_cluster,1000
magface,magface-6931178ad2025e1b3799,20260802-R001-9bccb0c1,protocol_role=unknown_unknown_probe,faithfulness_gain_over_random,1024,1024,-0.121657709591,-0.12163117528,0.1123046875,-0.128170434256,-0.115050396356,0.95,identity_cluster,1000
