partition_seed,target_fpir,method,split,partition,route,query_count,mated_count,non_mated_count,false_accept_count,true_identification_at_rank_k_count,tpir_available,realized_fpir,tpir_at_rank_k,faithfulness_status,strong_faithfulness_pass,faithfulness_policy,fallback_policy
8972,0.01,baseline,calibration,fit,baseline,117722,44275,73447,699,,False,0.009517066728389178,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,baseline,calibration,safety,baseline,42686,17308,25378,253,,False,0.009969264717471825,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,baseline,test,test,baseline,182159,60423,121736,1294,48.0,True,0.010629559045804034,0.0007943994836403357,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,calibration,fit,saliency,117629,44245,73384,706,,False,0.009620625749482177,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,calibration,fit,fiqa_fallback,93,30,63,3,,False,0.047619047619047616,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,calibration,safety,saliency,42651,17297,25354,253,,False,0.009978701585548632,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,calibration,safety,fiqa_fallback,35,11,24,0,,False,0.0,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,test,test,saliency,182010,60368,121642,1336,40.0,True,0.010983048618075994,0.0006626027034190299,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_outside,test,test,fiqa_fallback,149,55,94,3,0.0,True,0.031914893617021274,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,calibration,fit,saliency,117629,44245,73384,706,,False,0.009620625749482177,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,calibration,fit,fiqa_fallback,93,30,63,3,,False,0.047619047619047616,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,calibration,safety,saliency,42651,17297,25354,253,,False,0.009978701585548632,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,calibration,safety,fiqa_fallback,35,11,24,0,,False,0.0,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,test,test,saliency,182010,60368,121642,1282,51.0,True,0.010539123000279508,0.0008448184468592631,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_entropy,test,test,fiqa_fallback,149,55,94,3,0.0,True,0.031914893617021274,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,calibration,fit,saliency,117629,44245,73384,732,,False,0.00997492641447727,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,calibration,fit,fiqa_fallback,93,30,63,3,,False,0.047619047619047616,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,calibration,safety,saliency,42651,17297,25354,240,,False,0.009465961978386053,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,calibration,safety,fiqa_fallback,35,11,24,0,,False,0.0,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,test,test,saliency,182010,60368,121642,1345,44.0,True,0.011057036221042075,0.0007288629737609329,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.01,plus_both,test,test,fiqa_fallback,149,55,94,3,0.0,True,0.031914893617021274,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,baseline,calibration,fit,baseline,117722,44275,73447,3665,,False,0.04989992783912209,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,baseline,calibration,safety,baseline,42686,17308,25378,1211,,False,0.047718496335408624,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,baseline,test,test,baseline,182159,60423,121736,6273,218.0,True,0.05152953933101137,0.0036078976548665244,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,calibration,fit,saliency,117629,44245,73384,3668,,False,0.04998364766161561,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,calibration,fit,fiqa_fallback,93,30,63,5,,False,0.07936507936507936,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,calibration,safety,saliency,42651,17297,25354,1193,,False,0.04705371933422734,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,calibration,safety,fiqa_fallback,35,11,24,3,,False,0.125,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,test,test,saliency,182010,60368,121642,6211,221.0,True,0.05105966689136976,0.0036608799363901405,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_outside,test,test,fiqa_fallback,149,55,94,9,0.0,True,0.09574468085106383,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,calibration,fit,saliency,117629,44245,73384,3655,,False,0.049806497329118064,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,calibration,fit,fiqa_fallback,93,30,63,5,,False,0.07936507936507936,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,calibration,safety,saliency,42651,17297,25354,1174,,False,0.04630433067760511,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,calibration,safety,fiqa_fallback,35,11,24,3,,False,0.125,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,test,test,saliency,182010,60368,121642,6283,234.0,True,0.051651567715098406,0.003876225815001325,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_entropy,test,test,fiqa_fallback,149,55,94,9,0.0,True,0.09574468085106383,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,calibration,fit,saliency,117629,44245,73384,3665,,False,0.04994276681565464,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,calibration,fit,fiqa_fallback,93,30,63,5,,False,0.07936507936507936,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,calibration,safety,saliency,42651,17297,25354,1181,,False,0.04658042123530804,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,calibration,safety,fiqa_fallback,35,11,24,3,,False,0.125,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,test,test,saliency,182010,60368,121642,6188,226.0,True,0.05087058746156755,0.003743705274317519,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.05,plus_both,test,test,fiqa_fallback,149,55,94,9,0.0,True,0.09574468085106383,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,baseline,calibration,fit,baseline,117722,44275,73447,7353,,False,0.10011300665786213,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,baseline,calibration,safety,baseline,42686,17308,25378,2325,,False,0.09161478445898022,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,baseline,test,test,baseline,182159,60423,121736,11872,523.0,True,0.09752250772162713,0.008655644373831158,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,calibration,fit,saliency,117629,44245,73384,7330,,False,0.09988553363130928,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,calibration,fit,fiqa_fallback,93,30,63,9,,False,0.14285714285714285,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,calibration,safety,saliency,42651,17297,25354,2335,,False,0.09209592174804765,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,calibration,safety,fiqa_fallback,35,11,24,3,,False,0.125,,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,test,test,saliency,182010,60368,121642,12000,538.0,True,0.09865013728810773,0.008912006360985953,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
8972,0.1,plus_outside,test,test,fiqa_fallback,149,55,94,13,0.0,True,0.13829787234042554,0.0,failed,False,diagnostic_only,invalid-saliency-fiqa-only-joint-safety-v1
